X,Y,Z,azimuth,dip,polarity,formation
5410.48985,12000,-173.571345,180,55.4732331,1,Fault1
5865.39181,12000,-805.7142,180,53.26515412,1,Fault1
9049.705535,12000,-827.14277,180,80.58322916,1,Fault2
9305.587885,12000,-1930.714195,180,73.85516529,1,Fault2
9675.19573,12000,-3087.857055,180,70.68572299,1,Fault2
10130.0977,12000,-4212.857055,180,65.33181556,1,Fault2
10727.15652,12000,-5466.428485,180,63.90002445,1,Fault2
14565.39181,12000,-3387.857055,0,77.72885483,1,Fault3
14195.78397,12000,-4641.42848,0,69.23903516,1,Fault3
14451.66632,12000,-3591.428485,0,77.53068285,1,Fault4
14053.62711,12000,-4909.28563,0,69.23903497,1,Fault4
17038.92123,12000,-1448.57134,0,64.64577581,1,Fault5
16441.8624,12000,-2744.99991,0,65.81658735,1,Fault5
15731.07809,12000,-3966.42848,0,52.83168958,1,Fault5
19910.48985,12000,-1437.857055,0,64.53218228,1,Fault6
19398.72515,12000,-2327.14277,0,56.4397567,1,Fault6
24203.6271,12000,-1941.428485,0,66.14183265,1,Fault7
23748.72514,12000,-2927.14277,0,64.24400248,1,Fault7
4301.66632,12000,555.00009,180,1.05829923,1,Lower-filling
9248.72515,12000,-2702.1428,180,57.4217184,1,Lower-filling
11779.1173,12000,-5830.7142,0,8.82037961,1,Lower-filling
12831.0781,12000,-5487.8571,0,25.2232075,1,Lower-filling
14082.0585,12000,-4673.5713,0,38.6877637,1,Lower-filling
15020.2938,12000,-3912.8571,0,39.9441007,1,Lower-filling
15588.9212,12000,-3484.2856,0,34.418041,1,Lower-filling
16811.4702,12000,-2434.2856,0,42.569503,1,Lower-filling
18346.7644,12000,-1769.9999,180,15.326741,1,Lower-filling
21246.7644,12000,-677.14277,0,29.0674832,1,Lower-filling
4301.66632,12000,555.00009,180,1.058299231,1,Middle-filling
8992.84279,12000,-2123.57134,180,55.69221216,1,Middle-filling
11494.80358,12000,-4694.99991,0,4.31020284,1,Middle-filling
12774.21534,12000,-4416.42848,0,21.58819311,1,Middle-filling
13684.01926,12000,-4084.285625,0,17.43434359,1,Middle-filling
14593.82318,12000,-3334.285625,0,48.50622527,1,Middle-filling
15816.3722,12000,-2187.857055,0,37.59912122,1,Middle-filling
17635.98005,12000,-559.28563,0,43.98244174,1,Middle-filling
20137.94083,12000,565.71437,0,0,1,Middle-filling
22497.74475,12000,576.428655,0,0.599749146,1,Middle-filling
2766.3722,12000,576.42866,180,1.349235621,1,Upper-filling
5069.313375,12000,147.85723,180,22.9053096,1,Upper-filling
7059.509455,12000,-377.14277,180,6.968173303,1,Upper-filling
8879.1173,12000,-902.14277,180,27.31275125,1,Upper-filling
10300.68593,12000,-1727.14277,180,33.24029625,1,Upper-filling
12034.99966,12000,-2134.28563,0,1.136259327,1,Upper-filling
13968.33299,12000,-2069.999915,0,2.87648227,1,Upper-filling
15532.05848,12000,-1844.999915,0,14.37310956,1,Upper-filling
17749.70554,12000,-548.571345,0,36.48195985,1,Upper-filling
21388.92122,12000,576.428655,0,0.287887682,1,Upper-filling
2766.3722,12000,576.42866,180,1.349235621,1,Mesozoic
5040.882005,12000,276.42866,180,16.40505843,1,Mesozoic
7087.94083,12000,-55.714195,180,3.23532091,1,Mesozoic
8992.84279,12000,-280.714195,180,11.82463242,1,Mesozoic
10613.43103,12000,-537.857055,180,6.450140786,1,Mesozoic
12660.48985,12000,-687.857055,180,2.568724949,1,Mesozoic
14934.99966,12000,-805.714195,180,3.40521025,1,Mesozoic
17067.3526,12000,-902.14277,180,1.75013882,1,Mesozoic
20791.8624,12000,-1159.28563,180,4.812342613,1,Mesozoic
24459.50946,12000,-1448.571345,180,3.696308053,1,Mesozoic
26563.43102,12000,-1641.428485,180,6.614081288,1,Mesozoic
24345.78397,12000,-1405.714195,180,6.249624468,1,Mesozoic
9874.21534,12000,758.571515,180,0.280410266,1,Tertiary
17948.72514,12000,426.428655,180,4.805324595,1,Tertiary
22924.21534,12000,-109.28563,180,9.974163683,1,Tertiary
25397.74475,12000,-452.14277,180,5.636728677,1,Tertiary
27530.0977,12000,-709.285625,180,8.444171645,1,Tertiary
22298.72515,12000,158.571515,180,12.15257005,1,Quaternary
22838.92122,12000,244.2858,180,2.158154548,1,Quaternary
24829.1173,12000,255.00009,0,3.593905805,1,Quaternary
26051.66632,12000,126.42866,180,26.23409248,1,Quaternary
27473.23495,12000,-66.428485,180,0.583540845,1,Quaternary
19057.54867,12000,415.714375,180,2.979955557,1,Quaternary
