X,Y,Z,azimuth,dip,polarity,formation
11279.999795,2.0,-2627.1427700000004,180.0,59.85024693908343,1.0,Lower-filling
13796.666459999999,2.0,-5862.857055,0.0,10.555181226589161,1.0,Lower-filling
14913.333129999999,2.0,-5541.428485,0.0,21.58396918648994,1.0,Lower-filling
15871.666465,2.0,-4930.7142,0.0,43.574191544843714,1.0,Lower-filling
16771.666465000002,2.0,-4234.285629999999,0.0,31.827446488147405,1.0,Lower-filling
17604.9998,2.0,-3591.428485,0.0,44.40934296436458,1.0,Lower-filling
18354.9998,2.0,-2980.7142000000003,0.0,33.80795962748911,1.0,Lower-filling
19188.33313,2.0,-2305.7142000000003,0.0,43.21515709626967,1.0,Lower-filling
20288.33313,2.0,-2080.7142000000003,180.0,15.281087634483391,1.0,Lower-filling
21804.9998,2.0,-2477.1427700000004,180.0,14.149475814721873,1.0,Lower-filling
24154.9998,2.0,-998.57134,0.0,48.45661912404266,1.0,Lower-filling
