X,Y,Z,azimuth,dip,polarity,formation
10321.66646,5000,-987.857055,180,79.62925854,1,Fault2
10604.9998,5000,-2123.571345,180,72.7185015,1,Fault2
11054.9998,5000,-3237.85706,180,63.07232229,1,Fault2
11671.66646,5000,-4394.999915,180,61.02791489,1,Fault2
12471.66646,5000,-5648.57134,180,54.09027686,1,Fault2
15954.9998,5000,-4116.428485,0,83.77015751,1,Fault3
15788.33313,5000,-5273.57134,0,79.62925845,1,Fault3
18004.9998,5000,-1802.14277,0,72.71850166,1,Fault4
17621.66647,5000,-3462.857055,0,81.15818531,1,Fault4
19288.33313,5000,-1512.85706,0,80.53767779,1,Fault5
18971.66647,5000,-2734.28563,0,70.77843096,1,Fault5
23454.9998,5000,-1652.14277,0,67.66216724,1,Fault6
22921.66646,5000,-2798.57134,0,62.59242462,1,Fault6
11279.9998,5000,-2627.14277,180,59.85024694,1,Lower-filling
13796.66646,5000,-5862.857055,0,10.55518123,1,Lower-filling
14913.33313,5000,-5541.428485,0,21.58396919,1,Lower-filling
15871.66647,5000,-4930.7142,0,43.57419154,1,Lower-filling
16771.66647,5000,-4234.28563,0,31.82744649,1,Lower-filling
17604.9998,5000,-3591.428485,0,44.40934296,1,Lower-filling
18354.9998,5000,-2980.7142,0,33.80795963,1,Lower-filling
19188.33313,5000,-2305.7142,0,43.2151571,1,Lower-filling
20288.33313,5000,-2080.7142,180,15.28108763,1,Lower-filling
21804.9998,5000,-2477.14277,180,14.14947581,1,Lower-filling
24154.9998,5000,-998.57134,0,48.45661912,1,Lower-filling
10954.9998,5000,-2048.57134,180,62.33288359,1,Middle-filling
13221.66646,5000,-4887.857055,0,4.085616509,1,Middle-filling
14788.33313,5000,-4523.571345,0,20.83014178,1,Middle-filling
16038.33313,5000,-3805.7142,0,43.2151571,1,Middle-filling
16921.66646,5000,-3130.7142,0,30.76271927,1,Middle-filling
17838.33313,5000,-2519.999915,0,36.3044971,1,Middle-filling
18654.9998,5000,-1930.7142,0,35.1486725,1,Middle-filling
19838.33313,5000,-527.14277,0,54.239902,1,Middle-filling
21671.66646,5000,619.285805,180,0.613859822,1,Middle-filling
23804.9998,5000,640.714375,0,1.624549749,1,Middle-filling
9638.33313,5000,-741.428485,180,21.09233916,1,Upper-filling
10388.33313,5000,-1084.285625,180,27.21611145,1,Upper-filling
11388.33313,5000,-1630.7142,180,29.65665681,1,Upper-filling
12488.33313,5000,-2069.999915,180,11.71555923,1,Upper-filling
13604.9998,5000,-2112.857055,0,6.115503634,1,Upper-filling
15371.66647,5000,-2069.99991,180,1.052253073,1,Upper-filling
17004.9998,5000,-2102.14277,180,1.315233792,1,Upper-filling
18054.9998,5000,-1887.85706,0,21.09233945,1,Upper-filling
19788.33313,5000,-484.28563,0,45.70298046,1,Upper-filling
22938.33313,5000,683.571515,180,0.306938719,1,Upper-filling
9671.666465,5000,-216.42848,180,11.56013085,1,Mesozoic
10521.66646,5000,-430.714195,180,16.07578272,1,Mesozoic
11971.66646,5000,-687.857055,180,6.951261812,1,Mesozoic
14421.66646,5000,-816.428485,180,0.41384672,1,Mesozoic
16671.66647,5000,-966.428485,180,10.29701711,1,Mesozoic
18038.33313,5000,-1041.428485,0,6.115503634,1,Mesozoic
19288.33313,5000,-1009.285625,180,2.831001489,1,Mesozoic
20704.9998,5000,-1105.714195,180,4.793092165,1,Mesozoic
22204.9998,5000,-1180.714195,180,0.837054047,1,Mesozoic
24104.9998,5000,-1266.42848,180,3.678238727,1,Mesozoic
14304.9998,5000,490.71437,180,6.753574018,1,Tertiary
15571.66647,5000,394.2858,180,1.937839631,1,Tertiary
18321.66647,5000,276.42866,180,2.608409122,1,Tertiary
21104.9998,5000,40.714375,180,11.8009711,1,Tertiary
22421.66646,5000,-34.285625,0,5.648247436,1,Tertiary
23871.66646,5000,8.571515,180,1.534341755,1,Tertiary
25204.9998,5000,-173.571345,180,16.76961761,1,Tertiary
12404.9998,5000,844.2858,0,0,1,Quaternary
16721.66647,5000,662.142945,180,5.725462544,1,Quaternary
19238.33313,5000,372.85723,180,8.702224018,1,Quaternary
20954.9998,5000,287.142945,0,1.2074608,1,Quaternary
22921.66646,5000,244.285805,180,3.871256275,1,Quaternary
24271.66646,5000,169.285805,180,1.534341397,1,Quaternary
25138.33313,5000,447.85723,0,31.79468893,1,Quaternary
