Name,x,y,z,grav[mGal],rms[mGal],vertical_gradient
Sissacherfluh,628621,258947,700.81,980653.996,0.0024,
Aarburg,634807,241171,398.389,980681.906,0.0017,
Wartburg,636307,242602,653.2,980626.565,0.0037,
Laufenburg,646839,268058,359.627,908730.697,0.0052,
Lenzburg,656313,248746,504.47,980661.712,0.0025,
Knutwil,647382,228185,578.428,980608.53,0.003,
Birrfeld,660120,255149,395.477,980692.443,0.0084,
Laegern,672525,259424,852.94,980593.347,0.0024,
Hoenggerberg,679885,251326,528.315,980645.455,0.0024,
Zurich,680610,251460,519.501,980647.966,0.0014,0.2635
Buchberg,684032,270184,525.037,980678.145,0.0054,
