X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
2671445.42041905,1267436.96596798,-789.1428571429,0.7484669031,0.6182117605,0.500079938,0.1359549987,-0.9269355921,0.3497236714,69.5295854419,171.6558394339,1,fault_north,Fault_north_series,1,1,0.01
2650361.85289759,1264580.18433715,24.0904671805,0.7445336945,0.6176788185,0.5002316493,0.1359549987,-0.9269355921,0.3497236714,69.5295854419,171.6558394339,1,fault_north,Fault_north_series,1,1,0.01
2650478.05583807,1264361.20176971,-941.338104248,0.7445553725,0.6176379666,0.5000515455,0.1359549987,-0.9269355921,0.3497236714,69.5295854419,171.6558394339,1,fault_north,Fault_north_series,1,1,0.01
2675247.80269892,1259112.79773633,-1034.633405413,0.74917625,0.6166588596,0.5000341409,-0.1020972881,0.8180120878,0.5660674589,55.5235495603,352.8856198942,1,fault_south,Fault_south_series,2,2,0.01
2654312.75287399,1257134.77704405,-1964.633405413,0.7452707478,0.6162898534,0.4998606464,-0.1854659733,0.8433527562,0.5043396687,59.7124720959,347.5972234986,1,fault_south,Fault_south_series,2,2,0.01
2654583.89306845,1256623.81772001,-1185.2048339844,0.7453213299,0.6161945322,0.5000060513,-0.1854659733,0.8433527562,0.5043396687,59.7124720959,347.5972234986,1,fault_south,Fault_south_series,2,2,0.01
2654842.12182507,1256137.18979236,-458.9191196987,0.7453695033,0.6161037502,0.5001415423,-0.1854659733,0.8433527562,0.5043396687,59.7124720959,347.5972234986,1,fault_south,Fault_south_series,2,2,0.01
2637811.94450051,1252534.06062197,-223.1714826311,0.7421924679,0.6154315746,0.5001855218,-0.1854659733,0.8433527562,0.5043396687,59.7124720959,347.5972234986,1,fault_south,Fault_south_series,2,2,0.01
2671661.87483082,1266963.10437137,-582.9191196987,0.7485072834,0.6181233601,0.5001184097,0.0542871148,0.0370280701,0.9978385797,3.7677796468,55.7029451241,1,mesozoic,Post_graben_series,3,3,0.01
2672166.93512494,1265857.42731263,-671.4905482701,0.7486015041,0.6179170924,0.5001018864,0.0570903321,0.0697558413,0.9959291223,5.1716496873,39.2979525947,1,mesozoic,Post_graben_series,3,3,0.01
2673285.28291908,1263409.14239684,-804.3476911272,0.7488101355,0.6174603568,0.5000771015,0.0291165048,-0.0766146535,0.9966355523,4.7012826492,159.1912900701,1,mesozoic,Post_graben_series,3,3,0.01
