X,Y,Z,dip,azimuth,polarity,formation
2671445.42041905,1267436.96596798,-789.1428571429,69.5295854419,171.6558394339,1,fault_north
2650361.85289759,1264580.18433715,24.0904671805,69.5295854419,171.6558394339,1,fault_north
2650478.05583807,1264361.20176971,-941.338104248,69.5295854419,171.6558394339,1,fault_north
2675247.80269892,1259112.79773633,-1034.633405413,55.5235495603,352.8856198942,1,fault_south
2654312.75287399,1257134.77704405,-1964.633405413,59.7124720959,347.5972234986,1,fault_south
2654583.89306845,1256623.81772001,-1185.2048339844,59.7124720959,347.5972234986,1,fault_south
2654842.12182507,1256137.18979236,-458.9191196987,59.7124720959,347.5972234986,1,fault_south
2637811.94450051,1252534.06062197,-223.1714826311,59.7124720959,347.5972234986,1,fault_south
2671661.87483082,1266963.10437137,-582.9191196987,3.7677796468,55.7029451241,1,mesozoic
2672166.93512494,1265857.42731263,-671.4905482701,5.1716496873,39.2979525947,1,mesozoic
2673285.28291908,1263409.14239684,-804.3476911272,4.7012826492,159.1912900701,1,mesozoic
2674951.9816695,1259760.40858502,-901.7762625558,4.6271173245,135.0988107912,1,mesozoic
2676344.50505188,1256711.8989802,-1185.2048339844,3.61891331,146.9085779635,1,mesozoic
2650516.79015157,1264288.20758056,-54,24.4023733463,345.7838300553,1,mesozoic
2652130.71988049,1261246.78303272,-346.2857142857,21.7989246778,347.0923819034,1,mesozoic
2654454.77869013,1256867.13168384,-514.5714285714,23.7057164378,159.4874499443,1,mesozoic
2655100.3505817,1255650.5618647,-434.8571428571,8.231264512,97.5471118091,1,mesozoic
2648155.49103164,1260565.16857298,-358.685660226,3.63128322,42.2863491711,1,mesozoic
2651691.06999278,1261441.29454374,-367.5428030831,21.7989246778,347.0923819034,1,mesozoic
2659165.01539165,1263293.35830472,-482.685660226,4.2476429046,112.122386,1,mesozoic
2665341.09003263,1264823.80620302,-571.2570887974,6.5219478179,155.7572931016,1,mesozoic
2671427.65497969,1266332.07335855,-580.1142316546,3.7677796468,55.7029451241,1,mesozoic
2675142.25059709,1267252.56013796,-597.8285173689,4.735562681,46.7474295138,1,mesozoic
2671726.81115435,1266820.94589239,291.4285714286,12.5976387648,131.5417899968,1,tertiary
2672794.65291907,1264483.22868248,43.4285714286,20.0506549906,137.7697341963,1,tertiary
2673270.85262496,1263440.73316995,25.7142857143,2.8198574338,150.9785773376,1,tertiary
2674951.9816695,1259760.40858502,194,42.7703331249,344.8233720626,1,tertiary
2675464.25711069,1258638.93613973,-0.8571428571,16.0296886739,291.5496203427,1,tertiary
2675853.87505187,1257785.98526584,-257.7142857143,26.6991123804,234.5490101049,1,tertiary
2659503.15048817,1247353.55644074,-299.4905482701,5.0840527566,77.7436257128,1,tertiary
2640432.96465227,1245248.67916755,326.5618416922,27.5507610272,167.500585225,1,tertiary
2642153.95944454,1240465.0060873,-98.5810154506,37.8048933477,170.2856257275,1,tertiary
2672770.27990165,1266664.77942339,318,12.5976387648,131.5417899968,1,tertiary
2676440.12135498,1267574.17600064,220.5714285714,3.6204219211,356.5561047787,1,tertiary
2679886.19198799,1268428.12156708,211.7142857143,16.0083508407,136.3981279347,1,tertiary
2670904.28438963,1268621.61995949,-1745.7142857143,3.5207515613,139.8185705228,1,graben_fill
2671582.50821317,1267136.85362346,-1843.1428571429,3.5612661614,141.5087408574,1,graben_fill
2674663.37578714,1260392.22404716,-2064.5714285714,2.0157412813,101.3261310369,1,graben_fill
2668831.91346392,1265688.84163317,-2039.623953683,3.1172736791,133.8561432634,1,graben_fill
2671338.14665156,1266309.89295422,-1942.1953822545,3.2633491015,136.285576943,1,graben_fill
2674023.39649547,1266975.30508392,-1676.4810965402,4.7265588236,159.4567524929,1,graben_fill
2676216.35053466,1267518.72498983,-1968.7668108259,66.6830896488,62.7446716251,1,graben_fill
