X,Y,Z,formation
2671445.42041905,1267436.96596798,-789.1428571429,fault_north
2671611.3688014,1267073.67207725,-1736.8571428572,fault_north
2650361.85289759,1264580.18433715,24.0904671805,fault_north
2650478.05583807,1264361.20176971,-941.338104248,fault_north
2650710.46171904,1263923.23663482,-1959.9096679688,fault_north
2675247.80269892,1259112.79773633,-1034.633405413,fault_south
2674966.41196362,1259728.81781192,-2026.633405413,fault_south
2654312.75287399,1257134.77704405,-1964.633405413,fault_south
2654583.89306845,1256623.81772001,-1185.2048339844,fault_south
2654842.12182507,1256137.18979236,-458.9191196987,fault_south
2637586.93811424,1253159.48784448,-1941.4571969169,fault_south
2637811.94450051,1252534.06062197,-223.1714826311,fault_south
2670904.28438963,1268621.61995949,-1745.7142857143,graben_fill
2671272.25688963,1267816.05524526,-1834.2857142857,graben_fill
2671582.50821317,1267136.85362346,-1843.1428571429,graben_fill
2671705.16571317,1266868.33205205,-1967.1428571429,graben_fill
2672015.4170367,1266189.13043025,-1869.7142857143,graben_fill
2672260.73203671,1265652.08728743,-1940.5714285714,graben_fill
2674663.37578714,1260392.22404716,-2064.5714285714,graben_fill
2674894.26049303,1259886.77167745,-2029.1428571429,graben_fill
2649458.0522494,1266283.38208394,116.7951660156,graben_fill
2649742.10388169,1265748.09136352,-60.3476911272,graben_fill
2650039.06695181,1265188.46924672,-140.0619768415,graben_fill
2650284.3842706,1264726.17271545,-334.9191196987,graben_fill
2668831.91346392,1265688.84163317,-2039.623953683,graben_fill
2670129.78422181,1266010.45749586,-1897.9096679688,graben_fill
2671338.14665156,1266309.89295422,-1942.1953822545,graben_fill
2672770.27990165,1266664.77942339,-1773.9096679688,graben_fill
2674023.39649547,1266975.30508392,-1676.4810965402,graben_fill
2674963.23394083,1267208.19932931,-1951.0525251116,graben_fill
2676216.35053466,1267518.72498983,-1968.7668108259,graben_fill
2677558.97545661,1267851.43105468,-1641.0525251116,graben_fill
2679035.86287076,1268217.40772601,-1658.7668108259,graben_fill
2680199.47113645,1268505.75298221,-1587.9096679688,graben_fill
2670947.57527198,1268526.84764017,-556.3476911272,mesozoic
2671661.87483082,1266963.10437137,-582.9191196987,mesozoic
2672166.93512494,1265857.42731263,-671.4905482701,mesozoic
2672657.56512495,1264783.34102699,-804.3476911272,mesozoic
2673285.28291908,1263409.14239684,-804.3476911272,mesozoic
2673840.84924261,1262192.89763222,-919.4905482701,mesozoic
2674143.88541909,1261529.49139698,-910.6334054129,mesozoic
2674951.9816695,1259760.40858502,-901.7762625558,mesozoic
2675168.43608127,1259286.54698842,-892.9191196987,mesozoic
2675485.90255186,1258591.54998007,-963.7762625558,mesozoic
2675904.38108128,1257675.41755997,-1123.2048339844,mesozoic
2676344.50505188,1256711.8989802,-1185.2048339844,mesozoic
2676762.98358129,1255795.7665601,-1264.9191196987,mesozoic
2649225.64636843,1266721.34721883,211.7142857143,mesozoic
2649897.04113566,1265456.11460693,167.4285714286,mesozoic
2650516.79015157,1264288.20758056,-54,mesozoic
2651071.98197832,1263241.9575361,-213.4285714286,mesozoic
2652130.71988049,1261246.78303272,-346.2857142857,mesozoic
2653447.68653929,1258764.98060169,-390.5714285714,mesozoic
2654454.77869013,1256867.13168384,-514.5714285714,mesozoic
2655100.3505817,1255650.5618647,-434.8571428571,mesozoic
2656068.70802503,1253825.70787854,-558.8571428571,mesozoic
2656946.68579756,1252171.17292452,-691.7142857143,mesozoic
2658173.27239154,1249859.69026816,-966.2857142857,mesozoic
2659348.21323419,1247645.53319734,-1152.2857142857,mesozoic
2637416.66301111,1253632.78412097,-90.6095057896,mesozoic
2638353.17607829,1251029.65460027,-232.3237915039,mesozoic
2639131.5765497,1248866.01447916,-436.0380772182,mesozoic
2639934.30203585,1246634.76060428,-701.7523629325,mesozoic
2640852.57115639,1244082.34191477,-861.1809343611,mesozoic
2641843.81550671,1241327.08144805,-1091.4666486468,mesozoic
2643903.84544546,1259511.59936763,-154.9713745117,mesozoic
2648155.49103164,1260565.16857298,-358.685660226,mesozoic
2651691.06999278,1261441.29454374,-367.5428030831,mesozoic
2655495.17393831,1262383.96172747,-420.685660226,mesozoic
2659165.01539165,1263293.35830472,-482.685660226,mesozoic
2662297.80687621,1264069.67245603,-588.9713745117,mesozoic
2665341.09003263,1264823.80620302,-571.2570887974,mesozoic
2667757.81352636,1265422.6767813,-456.1142316546,mesozoic
2671427.65497969,1266332.07335855,-580.1142316546,mesozoic
2675142.25059709,1267252.56013796,-597.8285173689,mesozoic
2679170.12536295,1268250.6783325,-686.3999459403,mesozoic
2671171.24483081,1268037.19065701,326.8571428571,tertiary
2671726.81115435,1266820.94589239,291.4285714286,tertiary
2672203.01086024,1265778.45037986,202.8571428571,tertiary
2672794.65291907,1264483.22868248,43.4285714286,tertiary
2673270.85262496,1263440.73316995,25.7142857143,tertiary
2673703.76144849,1262493.00997674,114.2857142857,tertiary
2674216.03688968,1261371.53753144,-36.2857142857,tertiary
2674951.9816695,1259760.40858502,194,tertiary
2674843.75446362,1259997.33938333,-27.4285714286,tertiary
2675291.09358127,1259018.02541701,459.7142857143,tertiary
2675464.25711069,1258638.93613973,-0.8571428571,tertiary
2675853.87505187,1257785.98526584,-257.7142857143,tertiary
2676589.82005188,1256174.85583738,-461.4285714286,tertiary
2653124.9005935,1259373.26551126,515.3665945871,tertiary
2653847.94111206,1258010.70731383,435.6523088728,tertiary
2655332.75646266,1255212.59672982,701.3665945871,tertiary
2657049.97730021,1251976.52175345,267.3665945871,tertiary
2657630.99200262,1250881.60891623,1.6523088728,tertiary
2659503.15048817,1247353.55644074,-299.4905482701,tertiary
2640432.96465227,1245248.67916755,326.5618416922,tertiary
2640998.52124478,1243676.65939206,255.7046988351,tertiary
2641345.15270471,1242713.16340063,432.847555978,tertiary
2641691.78416464,1241749.6674092,370.847555978,tertiary
2641971.52183405,1240972.10924068,34.2761274065,tertiary
2642153.95944454,1240465.0060873,-98.5810154506,tertiary
2665475.35252483,1264857.0768095,397.7142857143,tertiary
2668563.38847953,1265622.30042021,362.2857142857,tertiary
2670935.35917498,1266210.08113477,291.4285714286,tertiary
2672770.27990165,1266664.77942339,318,tertiary
2676440.12135498,1267574.17600064,220.5714285714,tertiary
2679886.19198799,1268428.12156708,211.7142857143,tertiary
