x,y,z,formation
2670947.57527198,1268526.84764017,-556.3476911272,mesozoic
2671661.87483082,1266963.10437137,-582.9191196987,mesozoic
2672166.93512494,1265857.42731263,-671.4905482701,mesozoic
2672657.56512495,1264783.34102699,-804.3476911272,mesozoic
2673285.28291908,1263409.14239684,-804.3476911272,mesozoic
2673840.84924261,1262192.89763222,-919.4905482701,mesozoic
2674143.88541909,1261529.49139698,-910.6334054129,mesozoic
2674951.9816695,1259760.40858502,-901.7762625558,mesozoic
2675168.43608127,1259286.54698842,-892.9191196987,mesozoic
2675485.90255186,1258591.54998007,-963.7762625558,mesozoic
2675904.38108128,1257675.41755997,-1123.2048339844,mesozoic
2676344.50505188,1256711.8989802,-1185.2048339844,mesozoic
2676762.98358129,1255795.7665601,-1264.9191196987,mesozoic
2649225.64636843,1266721.34721883,211.7142857143,mesozoic
2649897.04113566,1265456.11460693,167.4285714286,mesozoic
2650516.79015157,1264288.20758056,-54,mesozoic
2651071.98197832,1263241.9575361,-213.4285714286,mesozoic
2652130.71988049,1261246.78303272,-346.2857142857,mesozoic
2653447.68653929,1258764.98060169,-390.5714285714,mesozoic
2654454.77869013,1256867.13168384,-514.5714285714,mesozoic
2655100.3505817,1255650.5618647,-434.8571428571,mesozoic
2656068.70802503,1253825.70787854,-558.8571428571,mesozoic
2656946.68579756,1252171.17292452,-691.7142857143,mesozoic
2658173.27239154,1249859.69026816,-966.2857142857,mesozoic
2659348.21323419,1247645.53319734,-1152.2857142857,mesozoic
2637416.66301111,1253632.78412097,-90.6095057896,mesozoic
2638353.17607829,1251029.65460027,-232.3237915039,mesozoic
2639131.5765497,1248866.01447916,-436.0380772182,mesozoic
2639934.30203585,1246634.76060428,-701.7523629325,mesozoic
2640852.57115639,1244082.34191477,-861.1809343611,mesozoic
2641843.81550671,1241327.08144805,-1091.4666486468,mesozoic
2643903.84544546,1259511.59936763,-154.9713745117,mesozoic
2648155.49103164,1260565.16857298,-358.685660226,mesozoic
2651691.06999278,1261441.29454374,-367.5428030831,mesozoic
2655495.17393831,1262383.96172747,-420.685660226,mesozoic
2659165.01539165,1263293.35830472,-482.685660226,mesozoic
2662297.80687621,1264069.67245603,-588.9713745117,mesozoic
2665341.09003263,1264823.80620302,-571.2570887974,mesozoic
2667757.81352636,1265422.6767813,-456.1142316546,mesozoic
2671427.65497969,1266332.07335855,-580.1142316546,mesozoic
2675142.25059709,1267252.56013796,-597.8285173689,mesozoic
2679170.12536295,1268250.6783325,-686.3999459403,mesozoic
