x_loc,z,x_glob,y_glob
638.5930957908402,-154.97137451171852,2643903.8454454592,1259511.599367627
5018.832616748924,-358.68566022600453,2648155.491031641,1260565.1685729758
8661.347586808804,-367.5428030831472,2651691.0699927825,1261441.2945437399
12580.50926345551,-420.6856602260041,2655495.173938314,1262383.961727473
16361.347586808804,-482.68566022600453,2659165.01539165,1263293.3583047215
19588.892496988447,-588.9713745117185,2662297.806876206,1264069.6724560314
22724.22183830581,-571.257088797433,2665341.090032631,1264823.806203018
25214.040790489333,-456.11423165457586,2667757.813526356,1265422.6767812965
28994.879113842628,-580.1142316545761,2671427.654979693,1266332.073358545
32821.825221627056,-597.8285173688612,2675142.250597094,1267252.5601379552
36971.52582042945,-686.3999459402901,2679170.125362951,1268250.6783324964
