x_loc,z,x_glob,y_glob
26320.62761683664,-2039.6239536830358,2668831.913463918,1265688.841633174
27657.753365339635,-1897.9096679687495,2670129.7842218056,1266010.4574958596
28902.66354498035,-1942.1953822544642,2671338.1466515623,1266309.892954222
30378.112646776757,-1773.9096679687495,2672770.279901645,1266664.7794233921
31669.130610848617,-1676.481096540179,2674023.396495467,1266975.305083916
32637.39408390251,-1951.0525251116078,2674963.2339408337,1267208.199329309
33928.412047974365,-1968.7668108258927,2676216.350534656,1267518.7249898328
35311.645580908495,-1641.0525251116073,2677558.975456608,1267851.43105468
36833.20246713604,-1658.7668108258922,2679035.8628707556,1268217.4077260117
38032.004862345624,-1587.9096679687505,2680199.4711364475,1268505.7529822125
