x,y,z,formation
2671171.24483081,1268037.19065701,326.8571428571,tertiary
2671726.81115435,1266820.94589239,291.4285714286,tertiary
2672203.01086024,1265778.45037986,202.8571428571,tertiary
2672794.65291907,1264483.22868248,43.4285714286,tertiary
2673270.85262496,1263440.73316995,25.7142857143,tertiary
2673703.76144849,1262493.00997674,114.2857142857,tertiary
2674216.03688968,1261371.53753144,-36.2857142857,tertiary
2674951.9816695,1259760.40858502,194,tertiary
2674843.75446362,1259997.33938333,-27.4285714286,tertiary
2675291.09358127,1259018.02541701,459.7142857143,tertiary
2675464.25711069,1258638.93613973,-0.8571428571,tertiary
2675853.87505187,1257785.98526584,-257.7142857143,tertiary
2676589.82005188,1256174.85583738,-461.4285714286,tertiary
2653124.9005935,1259373.26551126,515.3665945871,tertiary
2653847.94111206,1258010.70731383,435.6523088728,tertiary
2655332.75646266,1255212.59672982,701.3665945871,tertiary
2657049.97730021,1251976.52175345,267.3665945871,tertiary
2657630.99200262,1250881.60891623,1.6523088728,tertiary
2659503.15048817,1247353.55644074,-299.4905482701,tertiary
2640432.96465227,1245248.67916755,326.5618416922,tertiary
2640998.52124478,1243676.65939206,255.7046988351,tertiary
2641345.15270471,1242713.16340063,432.847555978,tertiary
2641691.78416464,1241749.6674092,370.847555978,tertiary
2641971.52183405,1240972.10924068,34.2761274065,tertiary
2642153.95944454,1240465.0060873,-98.5810154506,tertiary
2665475.35252483,1264857.0768095,397.7142857143,tertiary
2668563.38847953,1265622.30042021,362.2857142857,tertiary
2670935.35917498,1266210.08113477,291.4285714286,tertiary
2672770.27990165,1266664.77942339,318,tertiary
2676440.12135498,1267574.17600064,220.5714285714,tertiary
2679886.19198799,1268428.12156708,211.7142857143,tertiary
