X,Y,Z,azimuth,dip,polarity,formation
9049.705535,10000,-827.14277,90,80.58322916,1,Fault2
9675.19573,10000,-3087.857055,90,70.68572299,1,Fault2
10727.15652,10000,-5466.428485,90,63.90002445,1,Fault2
17038.92123,10000,-1448.57134,270,64.64577581,1,Fault5
15731.07809,10000,-3966.42848,270,52.83168958,1,Fault5
11779.1173,10000,-5830.7142,270,8.82037961,1,Lower-filling
12831.0781,10000,-5487.8571,270,25.2232075,1,Lower-filling
15020.2938,10000,-3912.8571,270,39.9441007,1,Lower-filling
15588.9212,10000,-3484.2856,270,34.418041,1,Lower-filling
12774.21534,10000,-4416.42848,270,21.58819311,1,Middle-filling
13684.01926,10000,-4084.285625,270,17.43434359,1,Middle-filling
15816.3722,10000,-2187.857055,270,37.59912122,1,Middle-filling
17635.98005,10000,-559.28563,270,43.98244174,1,Middle-filling
5069.313375,10000,147.85723,90,22.9053096,1,Upper-filling
7059.509455,10000,-377.14277,90,6.968173303,1,Upper-filling
8879.1173,10000,-902.14277,90,27.31275125,1,Upper-filling
10300.68593,10000,-1727.14277,90,33.24029625,1,Upper-filling
15532.05848,10000,-1844.999915,270,14.37310956,1,Upper-filling
17749.70554,10000,-548.571345,270,36.48195985,1,Upper-filling
5040.882005,10000,276.42866,90,16.40505843,1,Mesozoic
7087.94083,10000,-55.714195,90,3.23532091,1,Mesozoic
8992.84279,10000,-280.714195,90,11.82463242,1,Mesozoic
10613.43103,10000,-537.857055,90,6.450140786,1,Mesozoic
12660.48985,10000,-687.857055,90,2.568724949,1,Mesozoic
14934.99966,10000,-805.714195,90,3.40521025,1,Mesozoic
20791.8624,10000,-1159.28563,90,4.812342613,1,Mesozoic
24345.78397,10000,-1405.714195,90,6.249624468,1,Mesozoic
17948.72514,10000,426.428655,90,4.805324595,1,Tertiary
22924.21534,10000,-109.28563,90,9.974163683,1,Tertiary
25397.74475,10000,-452.14277,90,5.636728677,1,Tertiary
27530.0977,10000,-709.285625,90,8.444171645,1,Tertiary
22298.72515,10000,158.571515,90,12.15257005,1,Quaternary
26051.66632,10000,126.42866,90,26.23409248,1,Quaternary
19057.54867,10000,415.714375,90,2.979955557,1,Quaternary
