X,Y,Z,formation,IsFault
8964.41142,7000,-312.85706,Fault2,TRUE
9134.99965,7000,-1341.42848,Fault2,TRUE
9476.17612,7000,-2519.99991,Fault2,TRUE
9874.21534,7000,-3655.7142,Fault2,TRUE
10385.98005,7000,-4769.99991,Fault2,TRUE
11068.33299,7000,-6162.85706,Fault2,TRUE
17323.23495,7000,-848.57134,Fault5,TRUE
16754.6075,7000,-2048.57134,Fault5,TRUE
16129.1173,7000,-3441.42848,Fault5,TRUE
15333.03887,7000,-4491.42848,Fault5,TRUE
20109.50946,7000,-1019.99991,Fault6,TRUE
19711.47024,7000,-1855.7142,Fault6,TRUE
19085.98005,7000,-2798.57134,Fault6,TRUE
1401.66632,7000,999,Lower-filling,FALSE
7201.66632,7000,999,Lower-filling,FALSE
11295.78397,7000,-5905.7142,Lower-filling,FALSE
12262.45063,7000,-5755.7142,Lower-filling,FALSE
13399.70554,7000,-5219.99991,Lower-filling,FALSE
14764.41142,7000,-4127.14277,Lower-filling,FALSE
15276.17612,7000,-3698.57134,Lower-filling,FALSE
15901.66632,7000,-3269.99991,Lower-filling,FALSE
17721.27416,7000,-1598.57134,Lower-filling,FALSE
18972.25455,7000,-1941.42848,Lower-filling,FALSE
23521.27416,7000,999,Lower-filling,FALSE
27842.84279,7000,999,Lower-filling,FALSE
1401.66632,7000,999,Middle-filling,FALSE
7201.66632,7000,999,Middle-filling,FALSE
10784.01926,7000,-4748.57134,Middle-filling,FALSE
12205.58789,7000,-4641.42848,Middle-filling,FALSE
13342.84279,7000,-4191.42848,Middle-filling,FALSE
14025.19573,7000,-3977.14277,Middle-filling,FALSE
15162.45063,7000,-2691.42848,Middle-filling,FALSE
16470.29377,7000,-1684.28563,Middle-filling,FALSE
18801.66632,7000,999,Middle-filling,FALSE
21474.21534,7000,999,Middle-filling,FALSE
23521.27416,7000,999,Middle-filling,FALSE
27842.84279,7000,999,Middle-filling,FALSE
10,7000,999,Upper-filling,FALSE
4131.07808,7000,999,Upper-filling,FALSE
6007.54867,7000,-248.57134,Upper-filling,FALSE
8111.47024,7000,-505.7142,Upper-filling,FALSE
9646.76436,7000,-1298.57134,Upper-filling,FALSE
10954.6075,7000,-2155.7142,Upper-filling,FALSE
13115.39181,7000,-2112.85706,Upper-filling,FALSE
14821.27416,7000,-2027.14277,Upper-filling,FALSE
16242.84279,7000,-1662.85706,Upper-filling,FALSE
19256.56828,7000,999,Upper-filling,FALSE
23521.27416,7000,999,Upper-filling,FALSE
27842.84279,7000,999,Upper-filling,FALSE
1401.66632,7000,608.57152,Mesozoic,FALSE
4131.07808,7000,544.2858,Mesozoic,FALSE
5950.68593,7000,8.57152,Mesozoic,FALSE
8225.19573,7000,-119.99991,Mesozoic,FALSE
9760.48985,7000,-441.42848,Mesozoic,FALSE
11466.3722,7000,-634.28563,Mesozoic,FALSE
13854.6075,7000,-741.42848,Mesozoic,FALSE
16015.39181,7000,-869.99991,Mesozoic,FALSE
18119.31338,7000,-934.28563,Mesozoic,FALSE
23464.41142,7000,-1384.28563,Mesozoic,FALSE
25454.6075,7000,-1512.85706,Mesozoic,FALSE
27672.25455,7000,-1769.99991,Mesozoic,FALSE
21019.31338,7000,-1041.42848,Mesozoic,FALSE
21644.80357,7000,115.71437,Tertiary,FALSE
24203.6271,7000,-334.28563,Tertiary,FALSE
26591.8624,7000,-569.99991,Tertiary,FALSE
28468.33299,7000,-848.57134,Tertiary,FALSE
9709.60363,7000,-122.74089,Orange,FALSE
13678.39114,7000,-461.59632,Orange,FALSE
16602.76089,7000,-551.95776,Orange,FALSE
17473.10903,7000,329.06633,Orange,FALSE
19178.99245,7000,-461.59632,Orange,FALSE
20327.85199,7000,-280.87343,Orange,FALSE
25375.8712,7000,-1229.66861,Orange,FALSE
9883.67326,7000,148.34344,Pink,FALSE
13678.39114,7000,-190.51198,Pink,FALSE
16498.31912,7000,-280.87343,Pink,FALSE
17681.99365,7000,487.19886,Pink,FALSE
19178.99245,7000,-213.10234,Pink,FALSE
20049.34059,7000,216.11453,Pink,FALSE
25375.8712,7000,-1026.35535,Pink,FALSE
16602.76089,7000,645.33139,Thrust1_south,TRUE
17194.59763,7000,-190.51198,Thrust1_south,TRUE
19004.92282,7000,-868.22282,Thrust1_south,TRUE
19353.06207,7000,419.42778,Thrust2_south,TRUE
20014.52666,7000,-303.46379,Thrust2_south,TRUE
21581.15331,7000,-958.58427,Thrust2_south,TRUE
26768.42822,7000,-1636.29546,Thrust2_south,TRUE
8964.41142,14000,-312.85706,Fault2,TRUE
9134.99965,14000,-1341.42848,Fault2,TRUE
9476.17612,14000,-2519.99991,Fault2,TRUE
9874.21534,14000,-3655.7142,Fault2,TRUE
10385.98005,14000,-4769.99991,Fault2,TRUE
11068.33299,14000,-6162.85706,Fault2,TRUE
17323.23495,14000,-848.57134,Fault5,TRUE
16754.6075,14000,-2048.57134,Fault5,TRUE
16129.1173,14000,-3441.42848,Fault5,TRUE
15333.03887,14000,-4491.42848,Fault5,TRUE
20109.50946,14000,-1019.99991,Fault6,TRUE
19711.47024,14000,-1855.7142,Fault6,TRUE
19085.98005,14000,-2798.57134,Fault6,TRUE
1401.66632,14000,999,Lower-filling,FALSE
7201.66632,14000,999,Lower-filling,FALSE
11295.78397,14000,-5905.7142,Lower-filling,FALSE
12262.45063,14000,-5755.7142,Lower-filling,FALSE
13399.70554,14000,-5219.99991,Lower-filling,FALSE
14764.41142,14000,-4127.14277,Lower-filling,FALSE
15276.17612,14000,-3698.57134,Lower-filling,FALSE
15901.66632,14000,-3269.99991,Lower-filling,FALSE
17721.27416,14000,-1598.57134,Lower-filling,FALSE
18972.25455,14000,-1941.42848,Lower-filling,FALSE
23521.27416,14000,999,Lower-filling,FALSE
27842.84279,14000,999,Lower-filling,FALSE
1401.66632,14000,999,Middle-filling,FALSE
7201.66632,14000,999,Middle-filling,FALSE
10784.01926,14000,-4748.57134,Middle-filling,FALSE
12205.58789,14000,-4641.42848,Middle-filling,FALSE
13342.84279,14000,-4191.42848,Middle-filling,FALSE
14025.19573,14000,-3977.14277,Middle-filling,FALSE
15162.45063,14000,-2691.42848,Middle-filling,FALSE
16470.29377,14000,-1684.28563,Middle-filling,FALSE
18801.66632,14000,999,Middle-filling,FALSE
21474.21534,14000,999,Middle-filling,FALSE
23521.27416,14000,999,Middle-filling,FALSE
27842.84279,14000,999,Middle-filling,FALSE
10,14000,999,Upper-filling,FALSE
4131.07808,14000,999,Upper-filling,FALSE
6007.54867,14000,-248.57134,Upper-filling,FALSE
8111.47024,14000,-505.7142,Upper-filling,FALSE
9646.76436,14000,-1298.57134,Upper-filling,FALSE
10954.6075,14000,-2155.7142,Upper-filling,FALSE
13115.39181,14000,-2112.85706,Upper-filling,FALSE
