,X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,dip,azimuth,polarity,surface,series,id,order_series,smooth
33,17500.0,10000,250.28562999999997,0.5573913653471169,0.5001,0.5498607179063372,0.788010753607722,1.000048251742355e-12,0.6156614753266583,52.0,90.0,1.0,Thrust1_south,Thrust1_series,1,1,0.01
34,20500.0,10000,-100.0,0.6101000043431919,0.5001,0.5437063583006096,0.7071067811875476,1.0000432978028117e-12,0.7071067811875476,45.0,90.0,1.0,Thrust2_south,Thrust2_series,2,2,0.01
0,9049.705535,10000,-827.14277,0.40892352522504516,0.5001,0.5309307897130977,0.986524312794802,1.0000604071920972e-12,0.16361473120426498,80.58322916,90.0,1.0,Fault2,Fault2_series,3,3,0.01
1,9675.19573,10000,-3087.857055,0.419913104186325,0.5001,0.4912110653393194,0.943718564432957,1.0000577860959613e-12,0.33074955955699736,70.68572299,90.0,1.0,Fault2,Fault2_series,3,3,0.01
2,10727.15652,10000,-5466.428485,0.4383955780257036,0.5001,0.4494206443959035,0.8980277634980965,1.0000549883413055e-12,0.43993878663887165,63.90002445,90.0,1.0,Fault2,Fault2_series,3,3,0.01
3,17038.92123,10000,-1448.57134,0.5492904205348889,0.5001,0.5200125716604387,-0.9036776973610395,9.998339971000696e-13,0.42821328714940476,64.64577581,270.0,1.0,Fault5,Fault5_series,4,4,0.01
4,15731.07809,10000,-3966.4284799999996,0.5263122098916378,0.5001,0.47577496398178876,-0.7968641923933223,9.998536184226143e-13,0.6041584716619911,52.83168958,270.0,1.0,Fault5,Fault5_series,4,4,0.01
5,19910.48985,10000,-1437.8570550000002,0.5997425784495679,0.5001,0.5202008167871607,-0.9028269543343574,9.998341533790283e-13,0.43000405873247577,64.53218228,270.0,1.0,Fault6,Fault6_series,5,5,0.01
29,17948.725140000002,10000,426.428655,0.5652752624846913,0.5001,0.5529554709451378,0.08377044876133233,1.0000051294605968e-12,0.9964850786220963,4.805324595,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
30,22924.21534,10000,-109.28563,0.6526923680781276,0.5001,0.5435432139941025,0.17320408185188724,1.000010605691222e-12,0.9848859558508086,9.974163682999999,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
31,25397.74475,10000,-452.14277000000004,0.696151157650749,0.5001,0.537519369587607,0.09822085660018999,1.000006014292882e-12,0.9951646413186672,5.636728677000001,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
32,27530.0977,10000,-709.285625,0.733615631602004,0.5001,0.5330014862827354,0.14684565532244676,1.000008991703088e-12,0.9891594176446955,8.444171645,90.0,1.0,Tertiary,Post_tectonic_series,6,6,0.01
35,24500.0,10000,-950.0,0.6803781896712917,0.5001,0.5287722439183884,0.1088603595371428,1.000006665774543e-12,0.9940570517448432,6.2496244679999995,90.0,1.0,Pink,Post_tectonic_series,7,6,0.01
36,12500.0,10000,-200.0,0.469543633686992,0.5001,0.5419494036674072,0.05643699930640159,1.0000034557695276e-12,0.9984061623965463,3.23532091,90.0,1.0,Orange,Post_tectonic_series,8,6,0.01
