,X,Y,Z,X_r,Y_r,Z_r,surface,series,id,order_series,smooth
80,16602.76089,7000,645.33139,0.541627281233067,0.43860658783791256,0.5568014926899272,Thrust1_south,Thrust1_series,1,1,2e-06
81,17194.59763,7000,-190.51198,0.5520255842574917,0.43860658783791256,0.5421161038743963,Thrust1_south,Thrust1_series,1,1,2e-06
82,19004.92282,7000,-868.22282,0.5838321765592286,0.43860658783791256,0.5302090318713008,Thrust1_south,Thrust1_series,1,1,2e-06
167,16602.76089,14000,645.33139,0.541627281233067,0.5615934121620875,0.5568014926899272,Thrust1_south,Thrust1_series,1,1,2e-06
168,17194.59763,14000,-190.51198,0.5520255842574917,0.5615934121620875,0.5421161038743963,Thrust1_south,Thrust1_series,1,1,2e-06
169,19004.92282,14000,-868.22282,0.5838321765592286,0.5615934121620875,0.5302090318713008,Thrust1_south,Thrust1_series,1,1,2e-06
83,19353.06207,7000,419.42778,0.5899488252421,0.43860658783791256,0.5528324687474605,Thrust2_south,Thrust2_series,2,2,2e-06
84,20014.52666,7000,-303.46379,0.6015704580030989,0.43860658783791256,0.5401315918153152,Thrust2_south,Thrust2_series,2,2,2e-06
85,21581.153309999998,7000,-958.58427,0.629095377515259,0.43860658783791256,0.5286214221888969,Thrust2_south,Thrust2_series,2,2,2e-06
86,26768.428219999998,7000,-1636.29546,0.7202334443834547,0.43860658783791256,0.51671434403646,Thrust2_south,Thrust2_series,2,2,2e-06
170,19353.06207,14000,419.42778,0.5899488252421,0.5615934121620875,0.5528324687474605,Thrust2_south,Thrust2_series,2,2,2e-06
171,20014.52666,14000,-303.46379,0.6015704580030989,0.5615934121620875,0.5401315918153152,Thrust2_south,Thrust2_series,2,2,2e-06
172,21581.153309999998,14000,-958.58427,0.629095377515259,0.5615934121620875,0.5286214221888969,Thrust2_south,Thrust2_series,2,2,2e-06
173,26768.428219999998,14000,-1636.29546,0.7202334443834547,0.5615934121620875,0.51671434403646,Thrust2_south,Thrust2_series,2,2,2e-06
0,8964.41142,7000,-312.85706,0.4074249463197036,0.43860658783791256,0.5399665563228411,Fault2,Fault2_series,3,3,2e-06
1,9134.99965,7000,-1341.42848,0.4104221041303867,0.43860658783791256,0.5218950231033543,Fault2,Fault2_series,3,3,2e-06
2,9476.17612,7000,-2519.99991,0.4164164199274485,0.43860658783791256,0.5011880577583684,Fault2,Fault2_series,3,3,2e-06
3,9874.21534,7000,-3655.7142,0.42340978844520155,0.43860658783791256,0.4812340729202705,Fault2,Fault2_series,3,3,2e-06
4,10385.98005,7000,-4769.99991,0.4324012622286419,0.43860658783791256,0.46165657851131214,Fault2,Fault2_series,3,3,2e-06
5,11068.33299,7000,-6162.85706,0.44438989382276534,0.43860658783791256,0.4371847102804949,Fault2,Fault2_series,3,3,2e-06
87,8964.41142,14000,-312.85706,0.4074249463197036,0.5615934121620875,0.5399665563228411,Fault2,Fault2_series,3,3,2e-06
88,9134.99965,14000,-1341.42848,0.4104221041303867,0.5615934121620875,0.5218950231033543,Fault2,Fault2_series,3,3,2e-06
