,surface,series,order_surfaces,isBasement,isFault,isActive,hasData,color,vertices,edges,sfai,id
10,Thrust1_south,Thrust1_series,1,False,True,True,True,#d65f5f,"[[16508.20373535  8200.           775.        ]
 [16520.          7800.           763.44890594]
 [16512.89810181  7800.           775.        ]
 ...
 [27720.         19087.01629639 -1475.        ]
 [27431.84387207 19800.         -1475.        ]
 [27720.         19800.         -1511.11125946]]","[[   2    1    0]
 [   0    1    3]
 [   0    3    4]
 ...
 [1787 1785 1788]
 [1787 1714 1713]
 [1787 1713 1784]]",1.5456810471333142,1
11,Thrust2_south,Thrust2_series,1,False,True,True,True,#956cb4,"[[19278.84979248  4200.           625.        ]
 [19320.          4200.           585.20030975]
 [19320.          3865.64369202   625.        ]
 ...
 [27720.         19400.         -1828.96432877]
 [27304.44122314 19800.         -1775.        ]
 [27720.         19800.         -1830.26008606]]","[[   2    1    0]
 [   0    1    3]
 [   3    1    4]
 ...
 [1875 1874 1876]
 [1875 1804 1803]
 [1875 1803 1873]]",1.5989885738832492,2
0,Fault2,Fault2_series,1,False,True,True,True,#015482,"[[ 9232.75550842   600.          -575.        ]
 [ 9240.           600.          -605.73368073]
 [ 9240.           466.15927219  -575.        ]
 ...
 [11083.08410645 19800.         -6125.        ]
 [11018.62442017 19800.         -5975.        ]
 [10954.56848145 19800.         -5825.        ]]","[[   2    1    0]
 [   2    0    3]
 [   0    4    3]
 ...
 [2644 2649 2650]
 [2650 2431 2421]
 [2650 2421 2645]]",1.114514254028169,3
1,Fault5,Fault5_series,1,False,True,True,True,#9f0052,"[[13582.23342896   200.         -6275.        ]
 [13458.39614868   200.         -6425.        ]
 [13599.75906372   600.         -6275.        ]
 ...
 [18041.62307739 19800.           475.        ]
 [18122.20062256 19800.           625.        ]
 [18200.79467773  2200.           775.        ]]","[[   2    1    0]
 [   3    1    2]
 [   6    5    4]
 ...
 [2835 2827 2829]
 [2834 2827 2835]
 [2836 2566 2557]]",-0.2698879568190884,4
2,Fault6,Fault6_series,1,False,True,True,True,#ffbe00,"[[16466.54937744   200.         -6275.        ]
 [16359.59472656   200.         -6425.        ]
 [16471.72332764   600.         -6275.        ]
 ...
 [20566.56311035 19800.           325.        ]
 [20638.50280762 19800.           475.        ]
 [20709.85931396 19800.           625.        ]]","[[   2    1    0]
 [   3    1    2]
 [   0    5    4]
 ...
 [2811 2806 2812]
 [2813 2807 2809]
 [2812 2807 2813]]",-0.48247095457779765,5
7,Tertiary,Post_tectonic_series,1,False,False,True,True,#4878d0,"[[ 5.88000000e+03  2.47353420e+03  2.50000000e+01]
 [ 5.84201141e+03  2.60000000e+03  2.50000000e+01]
 [ 5.88000000e+03  2.60000000e+03  3.24815750e+01]
 ...
 [ 2.77200000e+04  1.90000000e+04 -7.93641663e+02]
 [ 2.77200000e+04  1.94000000e+04 -8.03186035e+02]
 [ 2.77200000e+04  1.98000000e+04 -8.13159561e+02]]","[[   2    1    0]
 [   1    2    3]
 [   1    3    4]
 ...
 [3044 2951 2948]
 [3046 2953 2950]
 [3047 2953 3046]]",0.9181919666522308,6
9,Pink,Post_tectonic_series,2,False,False,True,True,#6acc64,"[[ 8120.          6820.15762329  -275.        ]
 [ 8099.27856445  7000.          -275.        ]
 [ 8120.          7000.          -269.5898056 ]
 ...
 [27538.03161621 19800.         -1775.        ]
 [27720.         19800.         -1829.45127487]
 [27720.         19800.         -1450.94566345]]","[[   2    1    0]
 [   5    4    3]
 [   5    3    6]
 ...
 [4726 4890 4886]
 [4889 4731 4728]
 [4892 4731 4889]]",0.8975809637225873,7
8,Orange,Post_tectonic_series,3,False,False,True,True,#ee854a,"[[ 9240.          3912.50915527  -425.        ]
 [ 9073.82156372  4200.          -425.        ]
 [ 9240.          4200.          -396.54941559]
 ...
 [27720.         19800.         -1795.1584816 ]
 [27248.621521   19800.         -1625.        ]
 [27720.         19800.         -1686.96746826]]","[[   2    1    0]
 [   1    2    3]
 [   1    3    4]
 ...
 [4199 4206 4203]
 [4205 4046 4044]
 [4205 4044 4201]]",0.8928185542941341,8
6,Mesozoic,Detachement,1,False,False,True,True,#5DA629,,,1.0308663247127294,9
5,Upper-filling,Syn_tectonic_series2,1,False,False,True,True,#ff3f20,"[[ 8680.          1400.          -927.91233063]
 [ 8680.          1800.          -930.66749573]
 [ 8986.13945007  1800.         -1025.        ]
 ...
 [17104.12231445 18600.         -1025.        ]
 [17093.58535767 19000.         -1025.        ]
 [17083.08044434 19400.         -1025.        ]]","[[   2    1    0]
 [   2    0    3]
 [   5    4    1]
 ...
 [1717 1638 1716]
 [1716 1638 1636]
 [1717 1640 1638]]",0.8874217441381502,10
