% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.19191906E+03  0.17828939E+03  0.50000000E+00  0.13629673E+02  0.27259346E+02  0.60000000E+08     1
    32    15    20       13        2     0.18733386E+03  0.17377719E+03  0.50000000E+00  0.13556674E+02  0.27113347E+02  0.60000000E+08     1
    32    15    21       13        2     0.18275915E+03  0.16927783E+03  0.50000000E+00  0.13481320E+02  0.26962639E+02  0.60000000E+08     1
    32    15    22       13        2     0.17819495E+03  0.16479184E+03  0.50000000E+00  0.13403111E+02  0.26806221E+02  0.60000000E+08     1
    32    15    23       13        2     0.17364140E+03  0.16031987E+03  0.50000000E+00  0.13321531E+02  0.26643062E+02  0.60000000E+08     1
    32    15    24       13        2     0.16909870E+03  0.15586249E+03  0.50000000E+00  0.13236212E+02  0.26472423E+02  0.60000000E+08     1
    32    15    25       13        2     0.16456692E+03  0.15142000E+03  0.50000000E+00  0.13146915E+02  0.26293831E+02  0.60000000E+08     1
    32    15    26       13        2     0.16004581E+03  0.14699254E+03  0.50000000E+00  0.13053271E+02  0.26106543E+02  0.60000000E+08     1
    32    15    27       13        2     0.15553494E+03  0.14258062E+03  0.50000000E+00  0.12954316E+02  0.25908632E+02  0.60000000E+08     1
    32    15    28       13        2     0.15103430E+03  0.13818614E+03  0.50000000E+00  0.12848164E+02  0.25696328E+02  0.60000000E+08     1
    32    15    29       13        2     0.14654519E+03  0.13381188E+03  0.50000000E+00  0.12733316E+02  0.25466633E+02  0.60000000E+08     1
    32    15    30       13        2     0.14206956E+03  0.12946016E+03  0.50000000E+00  0.12609394E+02  0.25218789E+02  0.60000000E+08     1
    32    15    31       13        2     0.13760860E+03  0.12513145E+03  0.50000000E+00  0.12477154E+02  0.24954307E+02  0.60000000E+08     1
    32    15    32       13        2     0.13316152E+03  0.12082330E+03  0.50000000E+00  0.12338226E+02  0.24676453E+02  0.60000000E+08     1
    32    15    33       13        2     0.12872456E+03  0.11653019E+03  0.50000000E+00  0.12194367E+02  0.24388734E+02  0.60000000E+08     1
    32    15    34       13        2     0.12429105E+03  0.11224620E+03  0.50000000E+00  0.12044849E+02  0.24089698E+02  0.60000000E+08     1
    32    15    35       13        2     0.11985453E+03  0.10797624E+03  0.50000000E+00  0.11878284E+02  0.23756567E+02  0.60000000E+08     1
    32    15    36       13        2     0.11542076E+03  0.10373225E+03  0.50000000E+00  0.11688508E+02  0.23377017E+02  0.60000000E+08     1
    32    15    37       13        2     0.11100035E+03  0.99525381E+02  0.50000000E+00  0.11474966E+02  0.22949932E+02  0.60000000E+08     1
    32    15    38       13        2     0.10660207E+03  0.95364379E+02  0.50000000E+00  0.11237694E+02  0.22475388E+02  0.60000000E+08     1
    32    15    39       13        2     0.10223145E+03  0.91255453E+02  0.50000000E+00  0.10975996E+02  0.21951991E+02  0.60000000E+08     1
