% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.18337070E+03  0.17828939E+03  0.50000000E+00  0.50813168E+01  0.10162634E+02  0.60000000E+08     1
    32    15    20       13        2     0.17883053E+03  0.17377719E+03  0.50000000E+00  0.50533427E+01  0.10106685E+02  0.60000000E+08     1
    32    15    21       13        2     0.17430168E+03  0.16927783E+03  0.50000000E+00  0.50238516E+01  0.10047703E+02  0.60000000E+08     1
    32    15    22       13        2     0.16978457E+03  0.16479184E+03  0.50000000E+00  0.49927299E+01  0.99854598E+01  0.60000000E+08     1
    32    15    23       13        2     0.16527977E+03  0.16031987E+03  0.50000000E+00  0.49599028E+01  0.99198055E+01  0.60000000E+08     1
    32    15    24       13        2     0.16078799E+03  0.15586249E+03  0.50000000E+00  0.49255028E+01  0.98510057E+01  0.60000000E+08     1
    32    15    25       13        2     0.15630986E+03  0.15142000E+03  0.50000000E+00  0.48898576E+01  0.97797152E+01  0.60000000E+08     1
    32    15    26       13        2     0.15184574E+03  0.14699254E+03  0.50000000E+00  0.48532039E+01  0.97064078E+01  0.60000000E+08     1
    32    15    27       13        2     0.14739583E+03  0.14258062E+03  0.50000000E+00  0.48152077E+01  0.96304154E+01  0.60000000E+08     1
    32    15    28       13        2     0.14296077E+03  0.13818614E+03  0.50000000E+00  0.47746331E+01  0.95492662E+01  0.60000000E+08     1
    32    15    29       13        2     0.13854258E+03  0.13381188E+03  0.50000000E+00  0.47307068E+01  0.94614136E+01  0.60000000E+08     1
    32    15    30       13        2     0.13414418E+03  0.12946016E+03  0.50000000E+00  0.46840221E+01  0.93680443E+01  0.60000000E+08     1
    32    15    31       13        2     0.12976799E+03  0.12513145E+03  0.50000000E+00  0.46365372E+01  0.92730744E+01  0.60000000E+08     1
    32    15    32       13        2     0.12541453E+03  0.12082330E+03  0.50000000E+00  0.45912290E+01  0.91824580E+01  0.60000000E+08     1
    32    15    33       13        2     0.12108140E+03  0.11653019E+03  0.50000000E+00  0.45512147E+01  0.91024295E+01  0.60000000E+08     1
    32    15    34       13        2     0.11676316E+03  0.11224620E+03  0.50000000E+00  0.45169578E+01  0.90339156E+01  0.60000000E+08     1
    32    15    35       13        2     0.11245398E+03  0.10797624E+03  0.50000000E+00  0.44777328E+01  0.89554656E+01  0.60000000E+08     1
    32    15    36       13        2     0.10815911E+03  0.10373225E+03  0.50000000E+00  0.44268546E+01  0.88537092E+01  0.60000000E+08     1
    32    15    37       13        2     0.10389073E+03  0.99525381E+02  0.50000000E+00  0.43653517E+01  0.87307034E+01  0.60000000E+08     1
    32    15    38       13        2     0.99660183E+02  0.95364379E+02  0.50000000E+00  0.42958042E+01  0.85916085E+01  0.60000000E+08     1
    32    15    39       13        2     0.95476337E+02  0.91255453E+02  0.50000000E+00  0.42208834E+01  0.84417669E+01  0.60000000E+08     1
    32    15    40       13        2     0.91345498E+02  0.87201653E+02  0.50000000E+00  0.41438444E+01  0.82876888E+01  0.60000000E+08     1
    32    15    41       13        2     0.87270790E+02  0.83200185E+02  0.50000000E+00  0.40706049E+01  0.81412097E+01  0.60000000E+08     1
    32    15    42       13        2     0.83249470E+02  0.79234950E+02  0.50000000E+00  0.40145195E+01  0.80290389E+01  0.60000000E+08     1
    32    15    43       13        2     0.79265455E+02  0.75258570E+02  0.50000000E+00  0.40068845E+01  0.80137690E+01  0.60000000E+08     1
    32    15    44       13        2     0.75271314E+02  0.71302790E+02  0.50000000E+00  0.39685236E+01  0.79370472E+01  0.60000000E+08     1
    32    15    45       13        2     0.71299581E+02  0.67445610E+02  0.50000000E+00  0.38539706E+01  0.77079412E+01  0.60000000E+08     1
    32    15    46       13        2     0.67430303E+02  0.63656999E+02  0.50000000E+00  0.37733042E+01  0.75466084E+01  0.60000000E+08     1
    32    15    47       13        2     0.63635221E+02  0.59926366E+02  0.50000000E+00  0.37088546E+01  0.74177092E+01  0.60000000E+08     1
    32    15    48       13        2     0.59903973E+02  0.56260330E+02  0.50000000E+00  0.36436434E+01  0.72872868E+01  0.60000000E+08     1
    32    15    49       13        2     0.56241675E+02  0.52688486E+02  0.50000000E+00  0.35531896E+01  0.71063792E+01  0.60000000E+08     1
    32    15    50       13        2     0.52675147E+02  0.49749458E+02  0.50000000E+00  0.29256884E+01  0.58513769E+01  0.60000000E+08     1
    32    15    51        9        2     0.49740090E+02  0.46612920E+02  0.50000000E+00  0.31271700E+01  0.62543400E+01  0.60000000E+08     1
    32    15    52        8        2     0.46606710E+02  0.42768667E+02  0.50000000E+00  0.38380437E+01  0.76760874E+01  0.60000000E+08     1
    32    15    53        8        2     0.42765371E+02  0.38131981E+02  0.50000000E+00  0.46333908E+01  0.92667816E+01  0.60000000E+08     1
    32    15    54        7        2     0.38130941E+02  0.32685264E+02  0.50000000E+00  0.54456769E+01  0.10891354E+02  0.60000000E+08     1
    32    15    55        7        2     0.32684938E+02  0.27301341E+02  0.50000000E+00  0.53835974E+01  0.10767195E+02  0.60000000E+08     1
    32    15    56        7        2     0.27301221E+02  0.22073753E+02  0.50000000E+00  0.52274680E+01  0.10454936E+02  0.60000000E+08     1
    32    15    57        7        2     0.22073509E+02  0.17232406E+02  0.50000000E+00  0.48411038E+01  0.96822077E+01  0.60000000E+08     1
    79    23    33       13        2     0.11945249E+03  0.11379920E+03  0.50000000E+00  0.56532916E+01  0.11306583E+02  0.60000000E+08     1
    79    23    34       13        2     0.11541169E+03  0.10981343E+03  0.50000000E+00  0.55982672E+01  0.11196534E+02  0.60000000E+08     1
    79    23    35       13        2     0.11139207E+03  0.10584860E+03  0.50000000E+00  0.55434673E+01  0.11086935E+02  0.60000000E+08     1
    79    23    36       13        2     0.10739262E+03  0.10190310E+03  0.50000000E+00  0.54895149E+01  0.10979030E+02  0.60000000E+08     1
    79    23    37       13        2     0.10341180E+03  0.97974374E+02  0.50000000E+00  0.54374232E+01  0.10874846E+02  0.60000000E+08     1
    79    23    38       13        2     0.99447120E+02  0.94058220E+02  0.50000000E+00  0.53888998E+01  0.10777800E+02  0.60000000E+08     1
    79    23    39       13        2     0.95494469E+02  0.90147554E+02  0.50000000E+00  0.53469157E+01  0.10693831E+02  0.60000000E+08     1
    79    23    40       13        2     0.91546790E+02  0.86230006E+02  0.50000000E+00  0.53167847E+01  0.10633569E+02  0.60000000E+08     1
    79    23    41       13        2     0.87591605E+02  0.82283377E+02  0.50000000E+00  0.53082277E+01  0.10616455E+02  0.60000000E+08     1
    79    23    42       13        2     0.83606215E+02  0.78266872E+02  0.50000000E+00  0.53393432E+01  0.10678686E+02  0.60000000E+08     1
    79    23    43       13        2     0.79548318E+02  0.73390079E+02  0.50000000E+00  0.61582389E+01  0.12316478E+02  0.60000000E+08     1
    79    23    44        6        2     0.74620099E+02  0.69224105E+02  0.50000000E+00  0.53959940E+01  0.10791988E+02  0.60000000E+08     1
    79    23    45        9        2     0.70406849E+02  0.65858666E+02  0.50000000E+00  0.45481826E+01  0.90963651E+01  0.60000000E+08     1
