% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    19       13        2     0.17263266E+03  0.17263270E+03  0.50000000E+00 -0.44112676E-04 -0.88225351E-04  0.60000000E+08     1
    32    15    20       13        2     0.16845238E+03  0.16845240E+03  0.50000000E+00 -0.21719350E-04 -0.43438700E-04  0.60000000E+08     1
    32    15    21       13        2     0.16427896E+03  0.16427900E+03  0.50000000E+00 -0.37079475E-04 -0.74158950E-04  0.60000000E+08     1
    32    15    22       13        2     0.16011134E+03  0.16011130E+03  0.50000000E+00  0.44743832E-04  0.89487664E-04  0.60000000E+08     1
    32    15    23       13        2     0.15594871E+03  0.15594870E+03  0.50000000E+00  0.14288519E-04  0.28577038E-04  0.60000000E+08     1
    32    15    24       13        2     0.15179060E+03  0.15179060E+03  0.50000000E+00  0.12318931E-05  0.24637862E-05  0.60000000E+08     1
    32    15    25       13        2     0.14763709E+03  0.14763710E+03  0.50000000E+00 -0.14891709E-04 -0.29783418E-04  0.60000000E+08     1
    32    15    26       13        2     0.14348879E+03  0.14348880E+03  0.50000000E+00 -0.14339773E-04 -0.28679547E-04  0.60000000E+08     1
    32    15    27       13        2     0.13934655E+03  0.13934660E+03  0.50000000E+00 -0.45267642E-04 -0.90535284E-04  0.60000000E+08     1
    32    15    28       13        2     0.13521150E+03  0.13521150E+03  0.50000000E+00  0.20190345E-05  0.40380690E-05  0.60000000E+08     1
    32    15    29       13        2     0.13108670E+03  0.13108670E+03  0.50000000E+00  0.49574703E-05  0.99149406E-05  0.60000000E+08     1
    32    15    30       13        2     0.12697701E+03  0.12697700E+03  0.50000000E+00  0.66405024E-05  0.13281005E-04  0.60000000E+08     1
    32    15    31       13        2     0.12288622E+03  0.12288620E+03  0.50000000E+00  0.21917597E-04  0.43835195E-04  0.60000000E+08     1
    32    15    32       13        2     0.11881585E+03  0.11881590E+03  0.50000000E+00 -0.52272626E-04 -0.10454525E-03  0.60000000E+08     1
    32    15    33       13        2     0.11476522E+03  0.11476520E+03  0.50000000E+00  0.24645794E-04  0.49291588E-04  0.60000000E+08     1
    32    15    34       13        2     0.11073151E+03  0.11073150E+03  0.50000000E+00  0.10816800E-04  0.21633601E-04  0.60000000E+08     1
    32    15    35       13        2     0.10671091E+03  0.10671090E+03  0.50000000E+00  0.10060066E-04  0.20120133E-04  0.60000000E+08     1
    32    15    36       13        2     0.10270873E+03  0.10270870E+03  0.50000000E+00  0.30690555E-04  0.61381109E-04  0.60000000E+08     1
    32    15    37       13        2     0.98736536E+02  0.98736500E+02  0.50000000E+00  0.35816077E-04  0.71632155E-04  0.60000000E+08     1
    32    15    38       13        2     0.94805330E+02  0.94805300E+02  0.50000000E+00  0.29682461E-04  0.59364921E-04  0.60000000E+08     1
    32    15    39       13        2     0.90923501E+02  0.90923500E+02  0.50000000E+00  0.85461554E-06  0.17092311E-05  0.60000000E+08     1
    32    15    40       13        2     0.87096095E+02  0.87096100E+02  0.50000000E+00 -0.52420650E-05 -0.10484130E-04  0.60000000E+08     1
    32    15    41       13        2     0.83324605E+02  0.83324600E+02  0.50000000E+00  0.54743224E-05  0.10948645E-04  0.60000000E+08     1
    32    15    42       13        2     0.79604890E+02  0.79604900E+02  0.50000000E+00 -0.98400227E-05 -0.19680045E-04  0.60000000E+08     1
    32    15    43       13        2     0.75920210E+02  0.75920200E+02  0.50000000E+00  0.98017539E-05  0.19603508E-04  0.60000000E+08     1
    32    15    44       13        2     0.72224602E+02  0.72224600E+02  0.50000000E+00  0.17129530E-05  0.34259060E-05  0.60000000E+08     1
    32    15    45       13        2     0.68545771E+02  0.68545800E+02  0.50000000E+00 -0.28760475E-04 -0.57520949E-04  0.60000000E+08     1
    32    15    46       13        2     0.64956139E+02  0.64956100E+02  0.50000000E+00  0.38780855E-04  0.77561710E-04  0.60000000E+08     1
    32    15    47       13        2     0.61426877E+02  0.61426900E+02  0.50000000E+00 -0.23337795E-04 -0.46675591E-04  0.60000000E+08     1
    32    15    48       13        2     0.57946202E+02  0.57946200E+02  0.50000000E+00  0.22100782E-05  0.44201564E-05  0.60000000E+08     1
    32    15    49       13        2     0.54517300E+02  0.54517300E+02  0.50000000E+00 -0.89662961E-07 -0.17932592E-06  0.60000000E+08     1
    32    15    50       13        2     0.51164112E+02  0.51164100E+02  0.50000000E+00  0.12033464E-04  0.24066927E-04  0.60000000E+08     1
    32    15    51        9        2     0.48392273E+02  0.48392300E+02  0.50000000E+00 -0.27217039E-04 -0.54434078E-04  0.60000000E+08     1
    32    15    52        8        2     0.45415228E+02  0.45415200E+02  0.50000000E+00  0.27755838E-04  0.55511676E-04  0.60000000E+08     1
    32    15    53        8        2     0.41746906E+02  0.41746900E+02  0.50000000E+00  0.56683525E-05  0.11336705E-04  0.60000000E+08     1
    32    15    54        7        2     0.37303612E+02  0.37303600E+02  0.50000000E+00  0.11972466E-04  0.23944932E-04  0.60000000E+08     1
    32    15    55        7        2     0.32066466E+02  0.32066500E+02  0.50000000E+00 -0.33591879E-04 -0.67183757E-04  0.60000000E+08     1
    32    15    56        7        2     0.26878701E+02  0.26878700E+02  0.50000000E+00  0.63184766E-06  0.12636953E-05  0.60000000E+08     1
    32    15    57        7        2     0.21833663E+02  0.21833700E+02  0.50000000E+00 -0.36805058E-04 -0.73610117E-04  0.60000000E+08     1
    79    23    33       13        2     0.11285183E+03  0.11285180E+03  0.50000000E+00  0.30218934E-04  0.60437868E-04  0.60000000E+08     1
    79    23    34       13        2     0.10910079E+03  0.10910080E+03  0.50000000E+00 -0.10668622E-04 -0.21337243E-04  0.60000000E+08     1
    79    23    35       13        2     0.10536845E+03  0.10536850E+03  0.50000000E+00 -0.50138704E-04 -0.10027741E-03  0.60000000E+08     1
    79    23    36       13        2     0.10165477E+03  0.10165480E+03  0.50000000E+00 -0.34040179E-04 -0.68080358E-04  0.60000000E+08     1
    79    23    37       13        2     0.97958751E+02  0.97958800E+02  0.50000000E+00 -0.49290056E-04 -0.98580112E-04  0.60000000E+08     1
    79    23    38       13        2     0.94278335E+02  0.94278300E+02  0.50000000E+00  0.35374639E-04  0.70749278E-04  0.60000000E+08     1
    79    23    39       13        2     0.90609703E+02  0.90609700E+02  0.50000000E+00  0.32214532E-05  0.64429064E-05  0.60000000E+08     1
    79    23    40       13        2     0.86945968E+02  0.86946000E+02  0.50000000E+00 -0.31792480E-04 -0.63584960E-04  0.60000000E+08     1
    79    23    41       13        2     0.83274946E+02  0.83274900E+02  0.50000000E+00  0.46489213E-04  0.92978427E-04  0.60000000E+08     1
