temperature,error,i,j,k,var_flag,flag,Name
172.6327,0.5,32,15,19,2,1,!borehole1
168.4524,0.5,32,15,20,2,1,!borehole1
164.2790,0.5,32,15,21,2,1,!borehole1
160.1113,0.5,32,15,22,2,1,!borehole1
155.9487,0.5,32,15,23,2,1,!borehole1
151.7906,0.5,32,15,24,2,1,!borehole1
147.6371,0.5,32,15,25,2,1,!borehole1
143.4888,0.5,32,15,26,2,1,!borehole1
139.3466,0.5,32,15,27,2,1,!borehole1
135.2115,0.5,32,15,28,2,1,!borehole1
131.0867,0.5,32,15,29,2,1,!borehole1
126.9770,0.5,32,15,30,2,1,!borehole1
122.8862,0.5,32,15,31,2,1,!borehole1
118.8159,0.5,32,15,32,2,1,!borehole1
114.7652,0.5,32,15,33,2,1,!borehole1
110.7315,0.5,32,15,34,2,1,!borehole1
106.7109,0.5,32,15,35,2,1,!borehole1
102.7087,0.5,32,15,36,2,1,!borehole1
98.7365,0.5,32,15,37,2,1,!borehole1
94.8053,0.5,32,15,38,2,1,!borehole1
90.9235,0.5,32,15,39,2,1,!borehole1
87.0961,0.5,32,15,40,2,1,!borehole1
83.3246,0.5,32,15,41,2,1,!borehole1
79.6049,0.5,32,15,42,2,1,!borehole1
75.9202,0.5,32,15,43,2,1,!borehole1
72.2246,0.5,32,15,44,2,1,!borehole1
68.5458,0.5,32,15,45,2,1,!borehole1
64.9561,0.5,32,15,46,2,1,!borehole1
61.4269,0.5,32,15,47,2,1,!borehole1
57.9462,0.5,32,15,48,2,1,!borehole1
54.5173,0.5,32,15,49,2,1,!borehole1
51.1641,0.5,32,15,50,2,1,!borehole1
48.3923,0.5,32,15,51,2,1,!borehole1
45.4152,0.5,32,15,52,2,1,!borehole1
41.7469,0.5,32,15,53,2,1,!borehole1
37.3036,0.5,32,15,54,2,1,!borehole1
32.0665,0.5,32,15,55,2,1,!borehole1
26.8787,0.5,32,15,56,2,1,!borehole1
21.8337,0.5,32,15,57,2,1,!borehole1
112.8518,0.5,79,23,33,2,1,!borehole2
109.1008,0.5,79,23,34,2,1,!borehole2
105.3685,0.5,79,23,35,2,1,!borehole2
101.6548,0.5,79,23,36,2,1,!borehole2
97.9588,0.5,79,23,37,2,1,!borehole2
94.2783,0.5,79,23,38,2,1,!borehole2
90.6097,0.5,79,23,39,2,1,!borehole2
86.9460,0.5,79,23,40,2,1,!borehole2
83.2749,0.5,79,23,41,2,1,!borehole2
79.5748,0.5,79,23,42,2,1,!borehole2
75.8043,0.5,79,23,43,2,1,!borehole2
71.2143,0.5,79,23,44,2,1,!borehole2
67.2867,0.5,79,23,45,2,1,!borehole2
64.1082,0.5,79,23,46,2,1,!borehole2
60.1933,0.5,79,23,47,2,1,!borehole2
55.4401,0.5,79,23,48,2,1,!borehole2
49.9326,0.5,79,23,49,2,1,!borehole2
44.4685,0.5,79,23,50,2,1,!borehole2
39.0099,0.5,79,23,51,2,1,!borehole2
33.5271,0.5,79,23,52,2,1,!borehole2
28.2446,0.5,79,23,53,2,1,!borehole2
23.1660,0.5,79,23,54,2,1,!borehole2
166.9695,0.5,53,34,21,2,1,!borehole3
162.8095,0.5,53,34,22,2,1,!borehole3
158.6419,0.5,53,34,23,2,1,!borehole3
154.4593,0.5,53,34,24,2,1,!borehole3
150.3865,0.5,53,34,25,2,1,!borehole3
145.7993,0.5,53,34,26,2,1,!borehole3
140.7534,0.5,53,34,27,2,1,!borehole3
135.8771,0.5,53,34,28,2,1,!borehole3
131.0449,0.5,53,34,29,2,1,!borehole3
126.1343,0.5,53,34,30,2,1,!borehole3
121.1533,0.5,53,34,31,2,1,!borehole3
116.1447,0.5,53,34,32,2,1,!borehole3
111.1225,0.5,53,34,33,2,1,!borehole3
106.0956,0.5,53,34,34,2,1,!borehole3
101.0710,0.5,53,34,35,2,1,!borehole3
96.0552,0.5,53,34,36,2,1,!borehole3
91.6509,0.5,53,34,37,2,1,!borehole3
87.8530,0.5,53,34,38,2,1,!borehole3
84.0613,0.5,53,34,39,2,1,!borehole3
80.2813,0.5,53,34,40,2,1,!borehole3
76.5192,0.5,53,34,41,2,1,!borehole3
72.7798,0.5,53,34,42,2,1,!borehole3
69.0667,0.5,53,34,43,2,1,!borehole3
65.3833,0.5,53,34,44,2,1,!borehole3
61.7321,0.5,53,34,45,2,1,!borehole3
58.1120,0.5,53,34,46,2,1,!borehole3
55.2580,0.5,53,34,47,2,1,!borehole3
53.1526,0.5,53,34,48,2,1,!borehole3
50.3454,0.5,53,34,49,2,1,!borehole3
46.8429,0.5,53,34,50,2,1,!borehole3
42.5691,0.5,53,34,51,2,1,!borehole3
37.5314,0.5,53,34,52,2,1,!borehole3
32.5261,0.5,53,34,53,2,1,!borehole3
27.5579,0.5,53,34,54,2,1,!borehole3
22.6299,0.5,53,34,55,2,1,!borehole3
