temperature,error,i,j,k,var_flag,flag,Name
165.168817063372,0.5,53,34,21,2,1,!borehole3
160.532260621088,0.5,53,34,22,2,1,!borehole3
155.951397021837,0.5,53,34,23,2,1,!borehole3
151.411795350386,0.5,53,34,24,2,1,!borehole3
146.878487578487,0.5,53,34,25,2,1,!borehole3
142.417330083729,0.5,53,34,26,2,1,!borehole3
138.149406366911,0.5,53,34,27,2,1,!borehole3
133.398373343307,0.5,53,34,28,2,1,!borehole3
128.185570191045,0.5,53,34,29,2,1,!borehole3
123.07255692753,0.5,53,34,30,2,1,!borehole3
117.913449644465,0.5,53,34,31,2,1,!borehole3
112.702374081713,0.5,53,34,32,2,1,!borehole3
107.473408751147,0.5,53,34,33,2,1,!borehole3
102.237500140344,0.5,53,34,34,2,1,!borehole3
97.0026317487272,0.5,53,34,35,2,1,!borehole3
92.4044297032406,0.5,53,34,36,2,1,!borehole3
88.4715420771612,0.5,53,34,37,2,1,!borehole3
84.574203203029,0.5,53,34,38,2,1,!borehole3
80.7118617943973,0.5,53,34,39,2,1,!borehole3
76.8828197611988,0.5,53,34,40,2,1,!borehole3
73.0856589605326,0.5,53,34,41,2,1,!borehole3
69.3207931266399,0.5,53,34,42,2,1,!borehole3
65.5935698920653,0.5,53,34,43,2,1,!borehole3
61.9205414498603,0.5,53,34,44,2,1,!borehole3
58.3428151949687,0.5,53,34,45,2,1,!borehole3
55.5301772959725,0.5,53,34,46,2,1,!borehole3
53.4119633113181,0.5,53,34,47,2,1,!borehole3
50.5716850369438,0.5,53,34,48,2,1,!borehole3
47.0309368307462,0.5,53,34,49,2,1,!borehole3
42.7187112610333,0.5,53,34,50,2,1,!borehole3
37.6463200744592,0.5,53,34,51,2,1,!borehole3
32.6128781442013,0.5,53,34,52,2,1,!borehole3
27.6202082972772,0.5,53,34,53,2,1,!borehole3
22.6682737125969,0.5,53,34,54,2,1,!borehole3
17.7547318823937,0.5,53,34,55,2,1,!borehole3
