Real_0,Real_1,Real_2,Real_3,Real_4,Real_5,Real_6,Real_7,Real_8,Real_9,Real_10,Real_11,Real_12,Real_13,Real_14,Real_15,Real_16,Real_17,Real_18,Real_19,Real_20,Real_21,Real_22,Real_23,Real_24,Real_25,Real_26,Real_27,Real_28,Real_29,Real_30,Real_31,Real_32,Real_33,Real_34,Real_35,Real_36,Real_37,Real_38,Real_39,Real_40,Real_41,Real_42,Real_43,Real_44,Real_45,Real_46,Real_47,Real_48,Real_49,Real_50,Real_51,Real_52,Real_53,Real_54,Real_55,Real_56,Real_57,Real_58,Real_59,Real_60,Real_61,Real_62,Real_63,Real_64,Real_65,Real_66,Real_67,Real_68,Real_69,Real_70,Real_71,Real_72,Real_73,Real_74,Real_75,Real_76,Real_77,Real_78,Real_79,Real_80,Real_81,Real_82,Real_83,Real_84,Real_85,Real_86,Real_87,Real_88,Real_89,Real_90,Real_91,Real_92,Real_93,Real_94,Real_95,Real_96,Real_97,Real_98,Real_99,X,Y,Z
-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,-527.9247516937195,26868.68686868687,2000.0,726.1270060630925
-529.098405697177,-529.0758945884294,-529.0342508419516,-529.0809267866713,-529.0809266491871,-529.295314814096,-529.0331778111333,-529.1140112622727,-529.069697053779,-529.0251140714181,-529.1419725162319,-529.0204582269333,-528.9242994390203,-529.0942333510906,-529.0200570190224,-529.0211300778255,-529.1263672411171,-529.1419728400973,-529.045728251685,-529.1140110220074,-529.0580842639962,-529.0336986091266,-529.0200570189594,-529.1170548308087,-529.0820797617705,-529.1575594354011,-529.0850434311337,-529.117054829801,-529.0200570230664,-529.1419728400973,-529.0959023341633,-529.1419728400973,-529.1077181471761,-529.0809506702541,-529.0200570189594,-529.0200587912855,-528.878370430082,-529.0369383526804,-529.0330700379067,-529.1263734767698,-529.0809265369094,-529.0390979580069,-529.0542213173177,-528.5879977805681,-529.1419729962275,-529.0202688929763,-529.1263673930722,-529.073829267336,-529.0335503526746,-529.1419651679431,-529.1014474047691,-528.688914800892,-528.9280566970062,-529.0825505389389,-528.8941207806148,-529.1419728394367,-528.99575566525,-529.0485498324795,-529.0810002698609,-529.0211300765394,-529.0331792927361,-529.2572259888246,-529.1170542404868,-529.1419728400874,-528.3284245239823,-529.1263350181993,-529.0447660729877,-529.0729318241886,-529.0984057006012,-529.0200570189597,-529.181880817622,-529.1263670596047,-529.1387405982625,-529.094394675716,-529.1018665843119,-529.1263887830942,-529.1419728400973,-529.1270234873756,-529.0819998456803,-529.0879854398179,-529.0416121554946,-529.0200570189594,-529.0580842639962,-529.0424453147027,-529.0984056996259,-529.0392057317814,-529.1263672953742,-529.5742098743045,-529.0388416793628,-529.0391084720626,-529.1170543676366,-529.1263668855416,-529.0307329219042,-529.0262389712206,-529.0984056866212,-528.9933317282982,-529.0390961281441,-528.9802390542427,-529.1528365263079,-529.1263672774169,9050.505050505051,4285.714285714286,692.7406515201487
-527.6354957998606,-527.7110573951351,-527.3255776358378,-527.4102579212887,-527.5516988448381,-528.0507017646116,-527.6031120559795,-527.7773658648654,-527.410278294272,-527.4301620533159,-528.0103234683711,-527.351477915247,-527.2689946542661,-527.9032806727512,-527.4697093781546,-527.7960740803915,-528.0002223250874,-528.1348201824829,-527.6793198578258,-527.4856078543507,-527.840510674615,-527.3889000344378,-527.6366531945131,-527.9982228610265,-527.9529791745925,-528.1250323153754,-527.9257367760855,-527.9727681513414,-527.4516298649494,-528.1084007875705,-527.7711336715018,-528.0765039624156,-527.9559128111446,-527.7552993109024,-527.3514779301061,-527.4108413862796,-527.3803686835882,-527.6407754255791,-527.755220322309,-527.953462694418,-527.6392241494192,-527.7745296242009,-527.6152936551421,-527.2539662827464,-528.0973479420928,-527.3514779152457,-528.0659678701243,-527.7755299752097,-527.629664014478,-528.0108029841101,-527.9795065441491,-527.1267582542293,-527.2890136206537,-527.9548727650268,-527.3514779152449,-528.0206671817535,-527.6405341751397,-527.730469887033,-527.7617154089777,-527.925448261012,-527.4109214852182,-528.0118575113112,-527.9789887163017,-528.0331023438607,-527.0049394184496,-527.9281716291894,-527.8196917922991,-527.4754146865807,-527.8092852329172,-527.3514779152532,-528.1349811764712,-528.0356904324564,-527.7927933040579,-527.8002299041535,-527.7027499389136,-527.9853104742035,-528.0531809620477,-527.9795613336844,-527.3889201127566,-527.6957794114591,-527.7552205502691,-527.6999753283267,-527.9650849505335,-527.4285491474152,-527.7100741118614,-527.4178200199118,-528.0597788806982,-528.2629116032227,-527.7183286947826,-527.3889005980036,-527.9352745505456,-528.0777852461534,-527.288155313742,-527.5772115458329,-527.6990046574598,-527.2460436014115,-527.7552205502692,-527.2135781810343,-528.0994927644618,-528.0187089347477,9333.333333333334,10000.0,784.8639800384365
-529.2600748752594,-529.3360681893629,-529.1642767857217,-529.2600748752594,-529.2600748752594,-529.5037002025456,-529.1324621076411,-529.2656305177184,-529.2600748752594,-529.1642767854019,-529.3781541389902,-529.1417745552657,-528.8234670681683,-529.2600748752594,-529.1417745552675,-529.2752673259454,-529.3647805671485,-529.5178515852975,-529.2600748752594,-529.2656305177184,-529.2600748752598,-529.1642767375757,-529.2599856502401,-529.2752675902829,-529.2600748752594,-529.522802339321,-529.336068189501,-529.449570668827,-529.2600748752594,-529.489961935371,-529.2600748752594,-529.4571331785736,-529.3360697174636,-529.2600748752594,-529.0950399883633,-529.1324621373245,-528.9836534420749,-529.2600748752594,-529.2600748752594,-529.2667035752984,-529.2600748752594,-529.3360681876231,-529.275267325033,-528.823518525949,-529.4343293720424,-529.0006149582946,-529.4492646157017,-529.3360681894998,-529.2600748752594,-529.3374139630275,-529.2600748752594,-528.7681391801045,-529.0533299063923,-529.336068189501,-529.0950400361586,-529.4060529169466,-529.2600748752594,-529.2656317247847,-529.28078785371,-529.2600748752594,-529.1642692821127,-529.4523943958277,-529.2656305177507,-529.343812143538,-528.6634291658485,-529.261144144999,-529.2600748752594,-529.2600636042774,-529.2600748752594,-529.0950399883648,-529.6934420404748,-529.3891187512156,-529.3808836664458,-529.2600748752594,-529.2600748752594,-529.3306300641613,-529.4477051638263,-529.3315412983949,-529.2600748752594,-529.2600748752594,-529.2752673250994,-529.2600748752594,-529.2763390353272,-529.1655167476581,-529.2600748752594,-529.1510237174308,-529.5764212086107,-529.9406469203119,-529.2600748752594,-529.2600748752594,-529.2853742516012,-529.5030665711432,-529.0548240734461,-529.241605455248,-529.2601636562042,-528.8935128734201,-529.2600749243478,-528.8276217467251,-529.6044735512406,-529.3601810746396,9050.505050505051,13428.57142857143,781.5031029399279
-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2404715581363,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2324464936231,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2413205338883,-539.2398470619904,-539.2413205338883,-539.2398470619904,-539.2413205338883,-539.2413205338883,1696.969696969697,10571.428571428572,864.1518419855073
-529.632755807388,-529.632755807388,-529.6198951937289,-529.6198951937289,-529.6327558073847,-529.6698003039598,-529.6198951937158,-529.6198951937289,-529.632755807388,-529.6198951935329,-529.6327558073892,-529.5989882276951,-529.0866289063486,-529.6327557956088,-529.632755807388,-529.632755807388,-529.632755807388,-529.6701819922453,-529.632755807388,-529.632755807388,-529.632755807388,-529.6327557879046,-529.6115580341715,-529.632755807388,-529.6198951937289,-529.6701779266643,-529.632755807388,-529.6701779266622,-529.632755807388,-529.6701779266643,-529.632755807388,-529.6573173079092,-529.632755807388,-529.632755807388,-529.6198951753556,-529.6198951937273,-529.5492920112412,-529.6327518218969,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-528.9607490638934,-529.632755807388,-529.4317904206664,-529.6701435933875,-529.632755807388,-529.6198951937289,-529.632755807388,-529.632755807388,-528.7793528598124,-529.5596929432307,-529.632755807388,-529.4174191792098,-529.632755807388,-529.632755807388,-529.632755807388,-529.6198951937289,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-528.6274373703654,-529.632755807388,-529.632755807388,-529.5604541436007,-529.632755807388,-529.6198951937289,-529.7076000459514,-529.632755807388,-529.632755807388,-529.632755807388,-529.6198951937289,-529.632755807388,-529.6327622857619,-529.6327558061421,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-529.632755807388,-529.6327557709739,-529.632755807388,-529.6701779266643,-529.9716851323733,-529.632755807388,-529.6327558073582,-529.632755807388,-529.6701779266643,-529.5733146542083,-529.632755807388,-529.632755807388,-529.2908982593365,-529.6327530011538,-529.2757057499113,-529.6701779266643,-529.632755807388,8767.676767676769,7428.571428571428,860.9562568193834
-531.4367834822303,-531.8325183662089,-531.4367834822303,-531.4367834822303,-531.4367834822303,-531.9573238373803,-531.4916957006076,-531.8323202639137,-531.4367834822303,-531.4367834822303,-531.9153452075848,-531.4367834822303,-531.4367834822303,-531.6992981574042,-531.8263867453458,-531.8325183662205,-531.9124463434765,-531.9037203335279,-531.5700036910446,-531.4367834822303,-531.8209553964518,-531.4367834822303,-531.4367834822303,-531.8539851252262,-531.4367834822303,-531.9498685432342,-531.8325183649133,-531.8855249659402,-531.4367834822303,-531.9523127071288,-531.6992981574061,-531.8594376420942,-531.832540255897,-531.7950962469441,-531.4367834822303,-531.4742056015068,-531.4367834822303,-531.5699297588949,-531.7366896496168,-531.8325183662205,-531.8325183662205,-531.8996291199268,-531.7741421281672,-531.4367834822303,-531.8675910947824,-531.4367834822303,-531.8481049615297,-531.7950962469441,-531.4367834822303,-531.8594376150504,-531.5363464278394,-531.4367834822303,-531.4367834822303,-531.5700036221627,-531.4367834822303,-531.9124426694275,-531.4367834822303,-531.832518202742,-531.8325183662205,-531.5700036910445,-531.4367834822303,-531.8594376288962,-531.4367834822303,-531.9148218280721,-531.3504230663677,-531.8325183662205,-531.8325183662151,-531.4742056015066,-531.5482283897925,-531.4367834822303,-531.9124463434766,-531.5855902863484,-531.5700036910446,-531.4367834822303,-531.4367834822303,-531.8325183662205,-531.9124463398065,-531.8325183662205,-531.5322293770157,-531.4367834822303,-531.5678422203955,-531.6992981574064,-531.8325183662205,-531.4367834822303,-531.4367834822303,-531.4367834822303,-531.9124406448093,-531.9947497181118,-531.6034687635486,-531.7950962463095,-531.8325415055984,-531.928877909699,-531.4367834822303,-531.4367834822303,-531.8325183662205,-531.4367834822303,-531.8325058705784,-531.4367834822303,-531.9304083368769,-531.9115735515956,20646.464646464647,8857.142857142857,393.74356015599346
-530.3381898631573,-530.3708973965502,-530.1527968641151,-530.2046333782889,-530.162944105786,-531.0706172268524,-530.2337346013877,-530.2417877399294,-530.1697574527966,-530.0256294134523,-530.934320932528,-530.1452688884913,-529.9632637936659,-530.1957327507811,-530.2614398719315,-530.4863081125884,-530.9078811227536,-530.8638832607388,-530.3613519184754,-530.1358667269373,-530.381038819843,-530.1691683785793,-530.0528942669947,-530.405975641415,-530.172191335353,-530.8686849617088,-530.4621070181356,-530.8629282280097,-530.0085489487565,-530.7648314088929,-530.1966639383177,-530.5888975527072,-530.6556112761542,-530.2283363083055,-529.9599222217382,-530.2334034205654,-530.0256294134509,-530.2451097414838,-530.421548583613,-530.3708974899413,-530.3708975008234,-530.4357911746077,-530.3632081824674,-529.8002831945483,-530.8369639980725,-530.0479872429255,-530.6556028167225,-530.4992850265203,-530.1546333028816,-530.6489149143381,-530.3005919490398,-529.9175924938645,-529.9680271756447,-530.5612936169764,-530.0256282710476,-530.7995786173659,-530.1409443277742,-530.5440126558731,-530.5450063442138,-530.2203916201419,-530.1698680771823,-530.715684981055,-530.3408682892365,-530.6556112762069,-529.6816613889865,-530.3663033617885,-530.2638340502889,-530.192160479314,-530.2800514095616,-530.0827656465243,-531.1061082254877,-530.6143905380587,-530.3471415336195,-530.5191396842745,-530.204360861062,-530.6812896799946,-530.7260489375567,-530.5871614981152,-530.1794221199739,-530.1849750921491,-530.6218667901466,-530.4112218984889,-530.6556112762062,-530.1698768730461,-530.4496343851941,-530.1670440065864,-530.7429228381629,-531.1364931372943,-530.1748279912877,-530.4179685499315,-530.5490037566492,-530.9191284514865,-530.051997416005,-530.1012559764907,-530.2642899703835,-529.9407615632491,-530.401618649236,-529.9407615632491,-530.8714414283775,-530.7277129008091,18666.666666666668,6000.0,357.76540986345174
-525.5395156741466,-525.7282648990712,-525.4778773149386,-525.5679672148585,-525.6339939025182,-526.5413911996613,-525.5132067305854,-525.6508545296493,-525.5098764910098,-525.3757564900699,-526.2054074540088,-525.3409537145734,-524.7868924534376,-525.665766650285,-525.615697137935,-525.9367925551936,-526.2221041964909,-526.0241927435726,-525.6270544282484,-525.6510776790977,-525.7904794362929,-525.3857421925951,-525.3659110770899,-525.9465513433495,-525.7287849366546,-526.4062752752485,-525.7601548156498,-526.1509479148967,-525.4716432995311,-526.3116707196666,-525.8580173215391,-525.9424694585284,-525.9490431479238,-525.7231398193431,-525.0746918142727,-525.467972613729,-524.9697935476313,-525.6050232641752,-525.684227818891,-525.7999422411826,-525.5929519095824,-525.7678382393339,-525.7773836985822,-524.8531115667561,-526.0781597985587,-525.1888734447249,-526.1256300731877,-525.8444693313517,-525.4681920351375,-526.0305683205568,-525.5668083842718,-524.9177239290134,-525.2515852497736,-525.889408198624,-525.2671772147663,-526.1528651411635,-525.5257812421354,-525.8271167633752,-525.8039967429322,-525.533636110806,-525.5691264709678,-526.0570351096216,-525.741403468471,-526.1435141989219,-524.1944166575638,-525.6060795968162,-525.5804267535527,-525.3904770025754,-525.6209036250743,-525.1961443067,-526.4788535783777,-526.0747631626485,-525.6923247616106,-525.7006463715203,-525.5518515426053,-526.0259933379787,-526.2438072901899,-526.1080543291257,-525.653964713194,-525.5946718723128,-525.8041591943413,-525.5872519980235,-525.9944873211113,-525.553331207318,-525.7253019670845,-525.4475209724734,-526.226807588292,-526.7588189849575,-525.6839726960856,-525.6983805331582,-526.1177762230672,-526.2951201344115,-525.1294548071421,-525.4736988011852,-525.733608577132,-524.9701729492743,-525.7577823175252,-524.8514867779617,-526.336353189712,-526.1140472739787,16121.212121212122,12857.142857142857,575.526150767502
-521.955725384175,-521.959167846152,-521.7075239633338,-521.7962483375413,-521.8725453678603,-522.700176266723,-521.9193666960256,-522.029648760274,-521.8687870922528,-521.6417549146215,-522.3989706784026,-521.7471232821205,-521.2629855612096,-521.9183112219079,-522.0333683798913,-522.3040153753159,-522.3933712875898,-522.3765143469813,-522.1569632659493,-521.8826955918287,-522.3399680332886,-521.7730242598794,-521.9371055494162,-522.255015731474,-522.1116579146943,-522.5036075754597,-522.2361675541488,-522.219941734341,-521.8523942405808,-522.3820049047958,-522.1021415226725,-522.2779002932074,-522.358444074122,-522.094415156733,-521.6611607485336,-521.9856252535693,-521.4897091645721,-521.9340050060101,-522.1110668238276,-522.14484567311,-522.140444637258,-522.0848675568963,-522.1259279469031,-521.2668776155576,-522.3405588480249,-521.5994035060993,-522.5937023163074,-522.1073697847887,-521.830027860909,-522.3628313180234,-522.1188259640203,-520.90386045081,-521.6119884566256,-522.1886322450399,-521.2286509706374,-522.4498527278735,-521.8708482314221,-522.1979203710142,-522.1765101524952,-522.1188236057592,-521.9189906484796,-522.5353516531976,-522.2201270413544,-522.4428899536058,-520.5025099933821,-522.2129788261861,-522.0085457465149,-521.9470342478055,-522.1671993619806,-521.7015106670862,-522.7028335254537,-522.3932807968182,-522.1932155958766,-522.2442035342201,-521.8865725358482,-522.3255483706649,-522.4078158392513,-522.3399679161989,-521.8665892861707,-521.9353298014838,-522.0944147225116,-522.1323305437047,-522.4542574989079,-521.7309873883999,-522.1536947861717,-521.8609586277622,-522.4498527278735,-523.0196539537334,-522.1281383939713,-521.8668540893171,-522.0775601686641,-522.5614030601785,-521.6140831938804,-521.7676692767005,-522.0813535465247,-521.534315845615,-522.0314024623538,-521.4178146530295,-522.4008534062731,-522.3399680333175,13292.929292929293,2285.714285714286,745.0047716087624
