% Shemat-Suite version: SHEMAT-Suite 9.0 (Freely)                                                       
% data fit at iteration                final
%    i     j     k     unit     type               calc             obs             err            diff             res            time  ozone
    32    15    21       12        2     0.15666259E+03  0.15145234E+03  0.50000000E+00  0.52102525E+01  0.10420505E+02  0.60000000E+08     1
    32    15    22       12        2     0.15291811E+03  0.14773580E+03  0.50000000E+00  0.51823151E+01  0.10364630E+02  0.60000000E+08     1
    32    15    23       12        2     0.14919172E+03  0.14403725E+03  0.50000000E+00  0.51544674E+01  0.10308935E+02  0.60000000E+08     1
    32    15    24       12        2     0.14548286E+03  0.14035619E+03  0.50000000E+00  0.51266712E+01  0.10253342E+02  0.60000000E+08     1
    32    15    25       12        2     0.14179090E+03  0.13669201E+03  0.50000000E+00  0.50988868E+01  0.10197774E+02  0.60000000E+08     1
    32    15    26       12        2     0.13811514E+03  0.13304408E+03  0.50000000E+00  0.50710572E+01  0.10142114E+02  0.60000000E+08     1
    32    15    27       12        2     0.13445478E+03  0.12941170E+03  0.50000000E+00  0.50430826E+01  0.10086165E+02  0.60000000E+08     1
    32    15    28       12        2     0.13080895E+03  0.12579415E+03  0.50000000E+00  0.50147984E+01  0.10029597E+02  0.60000000E+08     1
    32    15    29       12        2     0.12717674E+03  0.12219071E+03  0.50000000E+00  0.49860323E+01  0.99720646E+01  0.60000000E+08     1
    32    15    30       12        2     0.12355721E+03  0.11860055E+03  0.50000000E+00  0.49566579E+01  0.99133159E+01  0.60000000E+08     1
    32    15    31       12        2     0.11994928E+03  0.11502268E+03  0.50000000E+00  0.49265979E+01  0.98531957E+01  0.60000000E+08     1
    32    15    32       12        2     0.11635166E+03  0.11145585E+03  0.50000000E+00  0.48958078E+01  0.97916155E+01  0.60000000E+08     1
    32    15    33       12        2     0.11276279E+03  0.10789855E+03  0.50000000E+00  0.48642362E+01  0.97284724E+01  0.60000000E+08     1
    32    15    34       12        2     0.10918082E+03  0.10434913E+03  0.50000000E+00  0.48316903E+01  0.96633807E+01  0.60000000E+08     1
    32    15    35       12        2     0.10560374E+03  0.10080633E+03  0.50000000E+00  0.47974119E+01  0.95948238E+01  0.60000000E+08     1
    32    15    36       12        2     0.10202986E+03  0.97269028E+02  0.50000000E+00  0.47608273E+01  0.95216546E+01  0.60000000E+08     1
    32    15    37       12        2     0.98457571E+02  0.93735758E+02  0.50000000E+00  0.47218135E+01  0.94436271E+01  0.60000000E+08     1
    32    15    38       12        2     0.94884721E+02  0.90204327E+02  0.50000000E+00  0.46803946E+01  0.93607891E+01  0.60000000E+08     1
    32    15    39       12        2     0.91308097E+02  0.86671385E+02  0.50000000E+00  0.46367114E+01  0.92734227E+01  0.60000000E+08     1
    32    15    40       12        2     0.87722654E+02  0.83131509E+02  0.50000000E+00  0.45911450E+01  0.91822901E+01  0.60000000E+08     1
    32    15    41       12        2     0.84119891E+02  0.79575263E+02  0.50000000E+00  0.45446275E+01  0.90892550E+01  0.60000000E+08     1
    32    15    42       12        2     0.80484355E+02  0.75984904E+02  0.50000000E+00  0.44994514E+01  0.89989028E+01  0.60000000E+08     1
    32    15    43       12        2     0.76784518E+02  0.72324252E+02  0.50000000E+00  0.44602663E+01  0.89205327E+01  0.60000000E+08     1
    32    15    44       12        2     0.72952295E+02  0.68531442E+02  0.50000000E+00  0.44208526E+01  0.88417052E+01  0.60000000E+08     1
    32    15    45       12        2     0.69050541E+02  0.64669560E+02  0.50000000E+00  0.43809805E+01  0.87619611E+01  0.60000000E+08     1
    32    15    46       12        2     0.65147270E+02  0.60810325E+02  0.50000000E+00  0.43369451E+01  0.86738902E+01  0.60000000E+08     1
    32    15    47       12        2     0.61274693E+02  0.56994213E+02  0.50000000E+00  0.42804795E+01  0.85609591E+01  0.60000000E+08     1
    32    15    48       12        2     0.57454099E+02  0.53259247E+02  0.50000000E+00  0.41948518E+01  0.83897037E+01  0.60000000E+08     1
