X;Y;Z
26868.68687;2000;726.1270061
9050.505051;4285.714286;692.7406515
9333.333333;10000;784.86398
9050.505051;13428.57143;781.5031029
1696.969697;10571.42857;864.151842
8767.676768;7428.571429;860.9562568
20646.46465;8857.142857;393.7435602
18666.66667;6000;357.7654099
16121.21212;12857.14286;575.5261508
13292.92929;2285.714286;745.0047716
11878.78788;9142.857143;546.3214328
20646.46465;10285.71429;408.4192148
19232.32323;9142.857143;402.8604494
13010.10101;7142.857143;567.8808286
26868.68687;285.7142857;717.3513809
